Phase,Title,App Metaphor,Skill Node,Level,Learning Objective,Key Concepts,Practice Tasks,Pass Condition,YouTube Link 1,YouTube Link 2,Further Resource,Song/Application,Status,Priority,Notes
0,Initiation,The First Ember,Technique,Ember,Make the guitar feel familiar,"Parts of guitar; tuning; pick vs fingers; posture; fretting clean notes; pulse","Tune guitar; fret single notes; clap quarter notes","Can tune; can play single notes cleanly; can clap steady quarter notes",,,https://www.justinguitar.com/,Single-note melodies,Not Started,High,
1,First Chords,The Hearth Is Lit,Chords,Ember,Play real songs quickly,"Em G C D Am E A; chord changes; simple strumming; song sections","Practice 2-chord and 3-chord songs","Can change 4-6 chords without stopping; can play 3 simple songs",,,https://www.justinguitar.com/,Beginner strum songs,Not Started,High,
2,Rhythm Foundation,The Pulse Chamber,Rhythm,Flame,Stop sounding like a beginner,"Down/up strumming; eighth notes; muted strums; accents; metronome","Play strum patterns with metronome","Can keep time through a full song",,,https://www.fender.com/play,Pop/folk rhythm songs,Not Started,High,
3,Fretboard Orientation,The Map of the Neck,Fretboard,Flame,Understand the neck,"String names; natural notes; octave shapes; sharps/flats; 12-fret repeat","Find notes on E and A strings","Can find natural notes on low E and A; can identify roots",,,,Root-note drills,Not Started,Medium,
4,Technique Core,The Forge,Technique,Forge,Build clean reliable movement,"Alternate picking; hammer-ons; pull-offs; slides; bends; vibrato; palm muting; fingerpicking","Technique drills and simple riffs","Can play simple riffs cleanly; can control muting and note length",,,,Riffs and fingerpicking patterns,Not Started,Medium,
5,Barre Chords & Movable Shapes,The Iron Gate,Chords,Forge,Unlock movable chord playing,"F chord; E-shape barre; A-shape barre; power chords; sus/add9/7ths","Move shapes to different roots","Can play basic barre chords and transpose shapes",,,,Songs in multiple keys,Not Started,Medium,
6,Scales & Lead Guitar,The Spark Path,Scales & Lead,Forge,Start improvising and writing melodic lines,"Minor pentatonic; major pentatonic; blues scale; major scale; phrasing","Solo over backing tracks","Can improvise a simple intentional solo",,,https://www.youtube.com/@SignalsMusicStudio,12-bar blues solo,Not Started,Medium,
7,Useful Theory,The Alchemist's Grammar,Theory,Ritual,Understand what you are playing,"Intervals; major scale formula; triads; diatonic chords; roman numerals; progressions","Build chords and transpose progressions","Can explain common progressions and build triads",,,https://online.berklee.edu/courses/music-theory-101,Transpose G-D-Em-C,Not Started,Medium,
8,Ear Training,The Listening Flame,Ear Training,Ritual,Connect ear hand and imagination,"Match pitch; major/minor; intervals; chord movement; singing; transcription","Sing melodies; work out riffs by ear","Can work out simple melodies and identify chord qualities",,,https://online.berklee.edu/courses/ear-training-fundamentals,Transcribe simple riff,Not Started,Medium,
9,Repertoire & Song Learning,The Songbook Vault,Songs,Ritual,Build a living songbook,"Easy songs; intermediate songs; songs by ear; full arrangements; memory","Learn and track songs","Can play 20 songs; perform 3 without stopping",,,,Personal songbook,Not Started,High,
10,Style Paths,The Guild Halls,Songs,Ritual,Branch into musical identity,"Acoustic; rock; blues; jazz; metal; worship/ambient","Choose a style path and collect songs/resources","Can play core rhythm/lead ideas in chosen style",,,,Style study,Not Started,Medium,
11,Improvisation,The Wild Flame,Improvisation / Creation,Mastery,Play unrehearsed but musically,"Chord tones; motifs; space; dynamics; question/answer phrasing","Improvise over one chord and chord changes","Can improvise over 12-bar blues with structure",,,,Backing track improvisation,Not Started,Medium,
12,Composition & Arrangement,The Hearthsong,Improvisation / Creation,Mastery,Create original music,"Progressions; riffs; intros/outros; solo arrangement; recording demos","Write and record an original piece","Can write a complete original or arrangement",,,,Original composition,Not Started,Medium,
13,Performance,The First Offering,Songs,Mastery,Play for people,"Practice sets; mistake recovery; tone setup; playing with others; recording","Perform or record songs","Can perform 3 songs and recover from mistakes",,,,Mini performance set,Not Started,High,
