unit_id,pyramid_block,lesson_order,title,primary_purpose,music_language_role,node_onboarding,source_anchors,core_interaction,own_condition,notes
FND-001,Enter The Hearth,1,Welcome To The Hearth,Introduce the simulator as a world and learning path,Sets the frame for learning as language,All nodes,Original Hearth orientation,Guide welcome and map preview,Learner can say why the simulator is a map and not a playlist,Use calm threshold tone
FND-002,Enter The Hearth,2,The 8 Nodes And How To Use Them,Explain each node in plain language,Shows where vocabulary grammar conversation and poetry live,Foundation Doing Knowing Practice Study Create Hearth Mastery,Original Hearth orientation,Node cards with examples,Learner can choose the right node for a need,Recommend Play as World or Traditions pathway rather than core node for now
FND-003,Enter The Hearth,3,How Lessons Work,Teach Understand Experience Apply Own,Shows how fluency is built in steps,TeachingEngine,Durable design realization,Mini staircase interaction,Learner can identify the four lesson moves,Keep this reusable for other domains
FND-004,How Learning Works,4,The Three Learning Barriers,Prevent self-blame and explain confusion,Protects the language ladder from collapse,Hearth Study Practice,Hubbard study-tech note plus Hearth design notes,Three scenario cards,Learner can name mass gradient or misunderstood word,Use carefully and practically not dogmatically
FND-005,How Learning Works,5,What To Do When You Get Stuck,Give the learner recovery moves,Builds repair habits like asking what word or step was missed,Hearth Practice Study,Jamie Andreas Ericsson,Stuck recovery chooser,Learner can choose simpler step word check or physical demo,This should power Need More Work behaviour
FND-006,Music As Language,6,Music As A Language,Introduce vocabulary grammar conversation poetry,Core metaphor,All nodes,Patel Levitin QJam,Hear speak language comparison ask step,Learner can place notes chords rhythm song or improvisation on ladder,This is the philosophical spine
FND-007,Music As Language,7,Vocabulary Grammar Conversation Poetry,Make progression visible and hopeful,Defines the full curriculum arc,Journey Levels,Patel Levitin Ericsson,Drag task to ladder stage,Learner can explain why beginners start with small phrases,Useful for other instruments too
FND-008,The Language Of Music,8,The 12 Notes,Introduce musical alphabet and repeating cycle,Vocabulary,Study Knowing,Marc Schonbrun Leavitt,12-note wheel ask step,Learner knows there are 12 notes before repetition,Keep beginner-safe
FND-009,The Language Of Music,9,Pulse Rhythm And Counting,Introduce time as the ground of music,Grammar and speech rhythm,Practice Doing,Schonbrun QJam JustinGuitar,Tap pulse interaction,Learner can tap steady pulse and count four beats,Connect to future metronome
FND-010,The Language Of Music,10,Half Steps Whole Steps And Intervals,Explain musical distance,Grammar,Study Doing,Marc Schonbrun Leavitt,Small keyboard or fret gap cards,Learner can explain half step as nearest next note,This prepares fretboard movement
FND-011,The Language Of Guitar,11,Strings Frets And Tab,Turn guitar into readable map,Vocabulary on the instrument,Doing Study,Shearer Schonbrun Guitar Building Blocks,Fretboard and tab cards,Learner can read open fret 1 and fret 2 in tab,Use diagrams not text alone
FND-012,The Language Of Guitar,12,Open Strings And Fret 12,Show repetition and octave,Pattern recognition,Doing Knowing,Leavitt Fretboard Logic,Octave reveal interaction,Learner can identify fret 12 as same letter name higher sound,Do not introduce all notes too fast
FND-013,Speaking With The Instrument,13,Guitar Body And Posture,Introduce instrument anatomy and body setup,The mouth and body of the language,Foundation Practice,Shearer Jamie Andreas Charles Kim,Body and guitar part cards,Learner can name headstock neck body and choose relaxed posture,Use visual mass
FND-014,Speaking With The Instrument,14,Body Scan Warm-Up,Make attention physical before playing,Prepares speech without tension,Practice Hearth,Jamie Andreas Shearer,Checklist body scan,Learner completes tension scan and adjusts one place,Should become reusable practice opener
FND-015,Speaking With The Instrument,15,First Sounds Rest Stroke And Free Stroke,Connect right hand motion to tone,First spoken sounds,Doing Practice,Shearer Pumping Nylon,Two-button sound comparison,Learner can hear or see difference between stroke types,Buttons are Try Rest Stroke and Try Free Stroke
FND-016,Speaking With The Instrument,16,Left Hand Changes Pitch,Connect fretting to pitch changes,Words change shape through the left hand,Doing Practice,Shearer Guitar Exercises for Dummies,Press and release checklist,Learner can fret one note without crushing tension,Keep clean note before speed
FND-017,First Conversation,17,Moving Between Notes Open Fret 2 Open,Make first phrase on one string,First tiny sentence,Doing Practice,QJam JustinGuitar Guitar Exercises for Dummies,Tab with Play visual indicator,Learner can follow open fret 2 open,Shows tab and motion together
FND-018,First Conversation,18,First Chord E Major,Make first harmonic sound,First chord sentence,Doing Practice,JustinGuitar Guitar Building Blocks,Chord diagram plus Strum All 6,Learner attempts E major and listens for clear strings,Diagram should show numbered fingers
FND-019,First Conversation,19,How Practice Study And Create Continue This,Show where to go next after Foundation,Conversation expands into nodes,Doing Practice Study Create,QJam Ericsson Hearth design notes,Next-node chooser,Learner can choose next node based on goal,This prevents ambiguity after first lesson
FND-020,First Conversation,20,Own The Threshold,Recap and commit to next path,Claiming first voice,Journey Hearth,Original Hearth orientation plus all source anchors,Recap quiz and learner reflection,Learner can explain what they learned and what they will do next,This can unlock Level 1 path
