Resource ID,Level,Source Discipline,Normalized Source Discipline,Hearth Discipline,Tutorial Number,Clean Title,URL,Duplicate URL Count,Duplicate URL,Source,Source PDF Page,Status,Notes
qjam-video-001,Level 1,Rhythm,Rhythm,Rhythm,1,Improving Time Feel & Rhythm – Crystal Clear - PART 1,https://www.youtube.com/watch?v=tvwirhdzCuo,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
qjam-video-002,Level 1,Chords and harmony,Chords & Harmony,Chords & Harmony,1,8 Open Chords That You Should Know! | Guitar for Beginners,https://www.youtube.com/watch?v=lRJ_d3PqPIQ,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-003,Level 1,Scales,Scales,Scales,2,THIS is how you learn the PENTATONICS,https://www.youtube.com/watch?v=X9rYOhX77mA,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-004,Level 1,Technique and improvisation,Technique / Improvisation Split,Improvisation,4,How To Get Started With Blues Solo on Guitar,https://www.youtube.com/watch?v=6iLluqLwRAA,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. QJam combines technique and improvisation; Hearth should confirm final placement.
qjam-video-005,Level 2,Rhythm,Rhythm,Rhythm,2,Improving Time Feel & Rhythm – Crystal Clear - PART 2,https://www.youtube.com/watch?v=xW9Yk4W6Rm0,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
qjam-video-006,Level 2,Chord and harmony,Chords & Harmony,Chords & Harmony,3,(JUSTINGUITAR) Your Ultimate Power Chords Guide for Beginners,https://www.youtube.com/watch?v=ZBYoI7e3v5Y,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-007,Level 2,Chord and harmony,Chords & Harmony,Chords & Harmony,5,(JUSTINGUITAR) How to Play 12 Bar Blues on Guitar for Beginners,https://www.youtube.com/watch?v=rLm99QI8eWs,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-008,Level 3,Rhythm,Rhythm,Rhythm,1,Improving Time Feel & Rhythm – Crystal Clear - PART 1,https://www.youtube.com/watch?v=tvwirhdzCuo,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL also appears at Level 1 / Rhythm.
qjam-video-009,Level 3,Chords and harmony,Chords & Harmony,Chords & Harmony,6,(JUSTINGUITAR) Fail-Proof Guide To Easy Barre Chords on Guitar,https://www.youtube.com/watch?v=IxXG5S8vSd8,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-010,Level 3,Chords and harmony,Chords & Harmony,Chords & Harmony,3,SLASH CHORDS for Guitar – CRYSTAL CLEAR,https://www.youtube.com/watch?v=bz5UMF2K1ho,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-011,Level 3,Chords and harmony,Chords & Harmony,Chords & Harmony,4,TRIADS and inversions - SUPER TOOL - Easy to Advanced,https://www.youtube.com/watch?v=J2sDtZedIBk,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-012,Level 3,Scales,Scales,Scales,5,5 levels of the pentatonic scale - Zero to Hero (Chapter: Blue note),https://www.youtube.com/watch?v=7KsZgWXj_TQ,3,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
qjam-video-013,Level 3,Arpeggios,Arpeggios,Arpeggios,6,Combining TRIAD ARPEGGIOS for ADVANCED USE,https://www.youtube.com/watch?v=-FFJ-OULakc,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-014,Level 3,Theory,Theory,Theory,7,Intervals for guitar,https://www.youtube.com/watch?v=axYQzYaajC4,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-015,Level 4,Rhythm,Rhythm,Rhythm,2,Improving Time Feel & Rhythm – Crystal Clear - PART 2,https://www.youtube.com/watch?v=xW9Yk4W6Rm0,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL also appears at Level 2 / Rhythm.
qjam-video-016,Level 4,Rhythm,Rhythm,Rhythm,64,Guitar Tutorial – Super Funky Muted Riffs STEP by STEP,https://youtu.be/DFsaCB9k_QY,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-017,Level 4,Chords and harmony,Chords & Harmony,Chords & Harmony,8,SHELL VOICINGS – ALL Jazz Chords with only 8 SHAPES,https://www.youtube.com/watch?v=Z8gAP_zOMQs,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-018,Level 4,Arpeggios,Arpeggios,Arpeggios,8,Awesome SPREAD TRIADS for GUITAR! – Crystal Clear Tutorial,https://www.youtube.com/watch?v=39OmrTGjBb0,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-019,Level 4,Arpeggios,Arpeggios,Arpeggios,9,One shape for all guitar arpeggios: Pure Magic!,https://www.youtube.com/watch?v=vcaZDOLvvNU,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-020,Level 4,Theory,Theory,Theory,10,"All About KEYS, SCALES and the CIRCLE of FIFTHS",https://www.youtube.com/watch?v=VeTAoOpgy5k,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-021,Level 4,Theory,Theory,Theory,47,Guitar Hack – Find NOTES and CHORDS in any KEY instantly!,https://youtu.be/itwRljB5fIk,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-022,Level 4,Theory,Theory,Theory,11,"Building Chords on Guitar: 7, 9, 11 and 13 chords (part2)",https://www.youtube.com/watch?v=Uqbl-L3ydXA,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
qjam-video-023,Level 5,Rhythm,Rhythm,Rhythm,12,"Odd Time Signatures for GUITAR – theory, songs & examples",https://www.youtube.com/watch?v=CT6_4Bhg-Ms,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-024,Level 5,Rhythm,Rhythm,Rhythm,46,How to create PROG ROCK – Ingredients & recipes (chapter: odd time signatures),https://youtu.be/aM1FyU-mXKw,4,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
qjam-video-025,Level 5,Chords and harmony,Chords & Harmony,Chords & Harmony,46,How to create PROG ROCK – Ingredients & recipes,https://youtu.be/aM1FyU-mXKw,4,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL also appears at Level 5 / Rhythm.
qjam-video-026,Level 5,Chords and harmony,Chords & Harmony,Chords & Harmony,11,"Building Chords on Guitar: 7, 9, 11 and 13 chords (part2)",https://www.youtube.com/watch?v=Uqbl-L3ydXA,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL also appears at Level 4 / Theory.
qjam-video-027,Level 5,Chords and harmony,Chords & Harmony,Chords & Harmony,58,Turn Simple Chord Progressions into FUSION & PROGRESSIVE ROCK – Guitar lesson,https://youtu.be/bpNVYwAoR60,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-028,Level 5,Technique and improvisation,Technique / Improvisation Split,Improvisation,5,5 levels of the pentatonic scale - Zero to Hero (Chapter: Choosing the right notes),https://www.youtube.com/watch?v=7KsZgWXj_TQ,3,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. QJam combines technique and improvisation; Hearth should confirm final placement. Same video URL also appears at Level 3 / Scales.
qjam-video-029,Level 5,Technique and improvisation,Technique / Improvisation Split,Improvisation,48,QJAMTRACKS Nobody knew a scale could sound like this! (wide interval scale patterns),https://youtu.be/r5JR7ScupQ0,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. QJam combines technique and improvisation; Hearth should confirm final placement.
qjam-video-030,Level 5,Arpeggios,Arpeggios,Arpeggios,67,Triad pairs over the ii V I,https://www.youtube.com/watch?v=XPKHjbTkEcA,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-031,Level 5,Scales,Scales,Scales,13,ALL ABOUT the secrets of HARMONIC MINOR Scale!,https://www.youtube.com/watch?v=D7zXXTeNev8,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-032,Level 5,Theory,Theory,Theory,14,All About The SECONDARY DOMINANT,https://www.youtube.com/watch?v=vTUz4eMcSVI,1,No,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing.
qjam-video-033,Level 5,Theory,Theory,Theory,52,QJAMTRACKS_ Get CLASSICAL with CIRCLE Chord Progressions!,https://youtu.be/B9gJq4fSPyg,2,Yes,QJamTracks Road Map For Learning Guitar,3,To Review,Cleaned from QJam roadmap PDF extraction; review title before publishing. Same video URL appears multiple times in the roadmap.
