Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Approaching guitar study,1,7,,,"The opening study chapter includes goals, performance essentials, avoiding habits of confusion and error, aim-directed movement, sustained concentration, and practice guidelines.","This strongly supports The Hearth's Foundation tone: begin by learning how to study, how to focus, and how to avoid training confusion into the body.",Foundation,Learning How To Learn,Level 1,medium,visual-toc-only,"TOC visually inspected; exact PDF page mapping needs OCR/page map."
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Efficient muscle function,9,11,,,"A short early section is devoted to principles of efficient muscle function.","This belongs beside Jamie Andreas in the body-aware practice philosophy. The simulator should teach movement economy before speed.",Foundation,Technique,Level 1,medium,visual-toc-only,"High priority OCR."
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Guitar positioning,12,20,,,"The method treats general positioning, moving the guitar, hand position checks, position adjustment, and alternatives to the footstool as foundational.","Foundation should teach posture as adaptable alignment rather than a single rigid pose.",Foundation,Posture,Level 1,medium,visual-toc-only,"High priority OCR for Foundation card/action design."
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Tone production,21,27,,,"The method includes tone production principles, nail considerations, and shaping.","First sounds should teach tone as feedback: the note tells the learner what the hand did.",Foundation,Tone,Level 1,medium,visual-toc-only,"Supports Lesson 1 First Sounds."
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Rest stroke and free stroke,29,42,,,"Beginning right-hand training includes right-hand positioning, rest-stroke, free-stroke, prepared stroke, sounding strings, and continuity stroke.","This directly supports an interactive Foundation action where the learner compares rest stroke and free stroke as different sound/feel experiences.",Foundation,Right Hand Technique,Level 1,medium,visual-toc-only,"High priority OCR; validates existing Lesson 1 UI idea."
Learning the Classic Guitar Part 1,Aaron Shearer,Classical guitar technique method,Left-hand beginning,43,47,,,"Beginning left-hand training includes hand positioning, left-hand movement, and applying aim-directed movement by touch.","Doing should teach fretting as accurate contact and release, not just finger strength.",Doing,Left Hand Technique,Level 1,medium,visual-toc-only,"OCR after right-hand foundation."
Learning the Classic Guitar Part 2,Aaron Shearer,Reading music method,Reading develops alongside technique,1,10,,,"Part 2 begins from music materials, rhythm, beat direction, rhythm notation, meter, metronome use, foot direction, and pitch notation.","Study should become the home of reading music, rhythm notation, and the relationship between symbol, sound, movement, and time.",Study,Reading Music,Level 1,medium,visual-toc-only,"High priority OCR for Study node."
Learning the Classic Guitar Part 2,Aaron Shearer,Reading music method,Beginning to read and play,11,43,,,"The early reading path uses open strings, pre-reading procedure, duets, note values, endings, notes on the fretboard, and first-string pitch learning.","This gives a gradual Study/Doing bridge: read a symbol, locate it physically, hear it, and play it in time.",Study,Reading Music,Level 1,medium,visual-toc-only,"Excellent source for beginner reading staircase."
Learning the Classic Guitar Part 2,Aaron Shearer,Reading music method,Scales arpeggios damping solfege and memorization,71,220,,,"Later sections cover arpeggios, scale forms, string crossing, damping, solfege, and a four-step memorization procedure.","This is a mid-level Study/Doing spine: reading becomes memory, form, coordination, and musical control.",Study,Reading Music,Level 2,medium,visual-toc-only,"Process after early Study node map is stable."
Learning the Classic Guitar Part 3,Aaron Shearer,Interpretation and performance method,Expressive interpretation,4,50,,,"Part 3 opens with expressive interpretation, contrast, melodic contour, rhythmic/melodic/harmonic attraction, phrasing, rubato, dynamics, mood, and spirit.","Mastery should not only mean speed or complexity. It should mean shaping music so it says something.",Mastery,Expression,Level 5,medium,visual-toc-only,"Later-stage source; OCR after beginner spine."
Learning the Classic Guitar Part 3,Aaron Shearer,Interpretation and performance method,Performance anxiety and performance development,60,81,,,"Part 3 includes performance anxiety, negative concerns, errors during performance, concentration, practice performance, formal performance procedure, and expressive performance.","This can shape a future Mastery or Hearth performance-preparation path: fear, attention, mistakes, and expression are part of musicianship.",Mastery,Performance,Level 5,medium,visual-toc-only,"Useful later for stage/readiness features."
