Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Expertise should be measured through performance,1,26,7,32,"The opening chapter frames professional expertise around objective performance, assessment, training environments, and development over time.","The Hearth should track more than completion. It should ask: what can the learner actually do now, under what conditions, and with what reliability?",Hearth,Learning Science,Level 1,high,text-good,"PDF front matter places contents around PDF pages 7-9."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Training curves and retention,27,60,33,66,"The military training section includes learning curves, skill retention, skill atrophy, and the timing of training.","Practice should make progress visible over intervals and should expect forgetting. The app can revisit skills before they disappear.",Practice,Practice Design,Level 1,medium,text-good,"Useful for streaks, review cycles, and spaced return."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Cognitive apprenticeship,61,83,67,89,"A chapter on cognitive apprenticeship uses avionics and medicine as examples of developing professional expertise through guided modelling and practice.","The TeachingEngine guide can model thought process, then ask the learner to perform. This supports guided fade-out: more help early, more independence later.",Hearth,Teaching Design,Level 1,high,text-good,"Very relevant to simulator as reusable engine."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Training design needs a paradigm shift,131,156,137,162,"Section 2 opens with the need to rethink training in professional domains, focusing on how instruction is designed and maintained.","The simulator should not be a library with quizzes attached. It should be a designed training environment with feedback, repetition, reflection, and transfer.",Hearth,Training Design,Level 1,high,text-good,"Strong Martin architecture note."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Cognitive task analysis,157,179,163,185,"A chapter focuses on designing training from subject matter experts and cognitive task analysis.","For guitar, we should decompose expert actions into observable subskills: posture, note choice, timing, hand movement, listening, recovery from mistakes.",Practice,Skill Decomposition,Level 1,high,text-good,"Supports roadmap item design."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Maintaining and improving skills,180,202,186,208,"The medicine-focused chapter examines how professionals maintain and improve knowledge and skills over time.","The Hearth should not treat completion as mastery. Skills need maintenance, refreshers, and periodic checks.",Practice,Retention,Level 2,high,text-good,"Directly relevant to long-term learner dashboard."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Digital experiential learning,215,246,221,252,"The digital learning chapter discusses promise and pitfalls of experiential training systems.","The simulator should create experiences, not just pages. But digital practice must be grounded in clear learning goals and feedback, or it becomes novelty.",Hearth,Simulator Design,Level 1,medium,text-good,"Useful for Martin and future domains."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Assessment can shape learning,333,355,339,361,"A later section examines how learning research influences assessment design and use.","Every check-in should teach as well as measure. Wrong answers should reveal the next small step, not just mark failure.",Hearth,Assessment,Level 1,high,text-good,"Connects to TeachingEngine re-explain design."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Problem-based methods,379,404,385,410,"A chapter on teaching for expertise covers problem-based methods in medicine and other professional domains.","Later guitar lessons can use musical problems: choose a fingering, hear the chord function, repair a rhythm, or make a phrase expressive.",Study,Applied Learning,Level 3,medium,text-good,"Especially relevant beyond beginner lessons."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Deliberate practice as development engine,405,431,411,437,"Ericsson's chapter connects deliberate practice to development of professional performance.","Practice should be effortful, focused, feedback-rich, and specific. The app should distinguish playing-for-pleasure from deliberate improvement sessions.",Practice,Deliberate Practice,Level 1,high,text-good,"High-priority source note for Practice node."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Expertise creates expertise,432,448,438,454,"The reflection chapter emphasizes how expertise itself is involved in making new expertise.","The simulator needs expert-source structure even when the learner is self-guided. Books, videos, and guide prompts become the scaffolding around the beginner.",Hearth,Teaching Philosophy,Level 1,medium,text-good,"Supports source-backed design."
Development of Professional Expertise,K. Anders Ericsson,Learning science / expertise research,Cross-domain engine relevance,1,570,1,570,"The book repeatedly uses domains such as medicine, military training, music, leadership, and technical performance.","The Hearth engine should stay domain-agnostic. Guitar is the first simulator, but the same design can later support medicine exam study or another instrument.",Hearth,Reusable Engine,Level 1,high,text-good,"Save for Martin handoff."
