Source,Source Type,Access Status,Visible Section,Visible Grade Or Category,Visible Items,Potential Hearth Mapping,Notes
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Beginner,Grade 1,"Before You Begin: Guitar Basics; A & D Chords: Play Your First Song; Rhythm & Chord Changes + Your First Riff; Capo, Minor Chords, & Up Strums; Metronome, Stretches, & The Pattern; Basic Theory & Strumming Development; 6:8 Time, Fast Changes, & Alternate Picking; Air Changes, Dynamics & Consolidation; Nitsuj - Grade 1 Practice Left Handed","Level 1; Foundation; Doing; Practice","Strong benchmark for beginner gradient: basics, first chords, rhythm, strumming, metronome, simple theory, consolidation."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Beginner,Grade 2,"Your First Scale, Pick Tricks, & 8th Note Strumming; The F Chord Journey & Pinky Workout; Alternate Picking, Hammer-Ons, And Improvisation; Fingerstyle & Songwriting First Steps; Rock Power Chords & Techniques For Beginners; Blues Guitar & Easy Improvisation; Beginners: Get A PRO Upgrade; Nitsuj - Grade 2 Practice Left Handed","Level 2; Doing; Practice; Create","Good bridge from open chords into scales, F chord, improvisation, fingerstyle, songwriting, power chords, blues."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Beginner,Grade 3,"Practice Better & Finger Gym Exercise; Playing Melodies & Moving Chords Up; Finger Strums, Triads, & The Musician In You; Blues, Chips, & Open Tuning; Master Song Practice & Learn To Sing; Chords In Keys Made Easy; Double Strumming, Vibrato, & Rut Busters; Beginner Consolidation & Easy Barre Chords","Level 3; Doing; Practice; Study; Create","Strong consolidation layer. Introduces practice quality, triads, keys, melody, singing, vibrato, barre chord entry."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Intermediate,Grade 4,"Grade 4 Pathway Options; E Shape Barre Chords; Major Scale Maestro; Rhythm Maestro; Intermediate Foundation 1; Intermediate Foundation 2; Blues Guitar Studies","Level 4; Doing; Study; Practice","Maps well to intermediate fluency: barre chords, major scale, rhythm, blues, pathway choice."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Intermediate,Grade 5,"Intermediate Foundation 3; Intermediate Foundation 4; Intermediate Foundation 5; Essential Blues Lead Guitar; Folk Fingerstyle; Transcribing Blues Solos","Level 5; Doing; Study; Practice","Good model for deepening foundations while adding blues lead, fingerstyle, transcription."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Intermediate,Grade 6,"Blues Solos All Over; Colouring The Blues; Essential Blues Rhythm; Blues Rhythm Fun; Funk Course; Jazz Introduction & Basics; Jazz Standards; Jazz Chord Extensions & Alterations","Level 6; Doing; Create; Mastery","Style/application layer: blues, funk, jazz, chord extensions. Strong for Doing/Create."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Advanced,Grade 7,"Rhythm Fills: Mayfield & Hendrix Style; Making The Blues Changes; Jazz Up Your Blues; Jazz Chord Tricks; Jazz Harmony & Concepts; Jazz Walking Bass; Jazz Lead 1","Level 7; Doing; Mastery; Create","Advanced visible content focuses on blues/jazz transformation, rhythm fills, harmony, walking bass, lead."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Advanced,Grade 8,"Coming soon","Level 8; Mastery","Gap in visible Justin structure. The Hearth can define Level 8 as integrated command and synthesis."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Advanced,Grade 9,"Coming soon","Beyond current Hearth Level 8 / optional future extension","Justin has 9 grades; The Hearth currently has 8 levels. Do not force Level 9 unless the product needs an extension layer later."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Theory,"Notes, Sharps & Flats & Octaves; Neck Notes, Tab, Chord & Scale Diagrams; Major Scale Theory & Key Signatures; Triad Chord Theory & Practice; Notes On The Fretboard & Cycle Of 5TH; Diatonic & Chromatic Intervals; QUADAD Chord Theory; Pentatonics; Harmonic Analysis; Upper Chord Extensions; CAGED shapes; Major Scale Modes","Study; Knowing","Strong topic shelf. The Hearth should turn this into a connected concept map, not only a list."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Chords,"Chords For Beginners; Caged System; Triad Chords; Hendrix Style Thumb Over; Chord Adventures","Foundation; Doing; Study","Good chord shelf. Hearth gap: add source citations, fretboard visualization, body checks, and progression dependencies."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Scales,"Scale Info For Beginners; Scale Info For Intermediate; Minor Pentatonic; Major Pentatonic; Major Scale; Major Scale 3NPS; Harmonic Minor; Melodic Minor; Melodic Minor Modes; Symmetrical Scales; Melodic Sequences; Arpeggios & Beyond","Study; Doing; Mastery","Strong scale shelf. Hearth should avoid flooding; unlock by need and level."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Essentials,"Tune Your Guitar; Altered Tunings; Guitar Maintenance 1; Print Blank Tab & Manuscript","Foundation; Knowing","Good utility shelf. Hearth should include instrument care and tuning earlier as practical mass."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Ear Training,"Ear Training - Introduction; Ear Training - Reference; Ear Training - Grade 1; Ear Training - Grade 2; Ear Training - Grade 3","Study; Hearth; Practice","Visible gap: ear training appears to stop at Grade 3 in screenshots. Hearth should continue ear/listening through Level 8."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Technique,"Technique: General; Fretting Hand; Picking; Fingerstyle; Time Feel; Rock Techniques; Harmonics; Legato Primer; Singing Lessons","Doing; Practice; Mastery","Good category shelf. Hearth should connect technique to body awareness, tension, sound, and reflection."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Guitar Gear,"Beginner Guitar Buying Guides; Set Up Your Electric Guitar; All About Guitar Effects; Boss Katana; Guitar Effects Reviews; Justin's Guitars","Knowing; Private Library","Useful as reference, but not core early curriculum."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Transcribing,"Transcribing 1; Transcribing 2; Transcribing 3","Study; Practice; Mastery","Excellent bridge from listening to musicianship. Hearth should connect this to ear training and memory."
JustinGuitar site map and lesson structure,Screenshot reference,External Account Required,Skills / Topics,Production,"Production Basics With Adam G; Recording Techniques 1; Getting Into Garage Band; Songwriting","Create; Knowing","Useful for Create, but should sit after beginner musical control unless learner chooses creative side quest."
