id,key_name,title,author,description,category,difficulty,pdf_url,is_active
6,pumping-nylon,Pumping Nylon,Scott Tennant,,classical,2,,1
53,how-to-write-songs,How to Write Songs on Guitar,Rikky Rooksby,"1,500 song examples, chord sequences, melody, lyrics",create,1,https://drive.google.com/file/d/1z_eVD1WQMoW46h6gn1SkAGXRpUOZNxZ9/preview,1
59,mixing-secrets,Mixing Secrets,Mike Senior,Recording and mixing techniques,create,3,https://drive.google.com/file/d/1dwcMbEae0R_NuwHZ-TPodqdtJ_T2oXT_/preview,1
61,recording-guitarist,Recording Guitarist,Buono,Home recording for guitarists,create,2,https://drive.google.com/file/d/1PzSfftI6vQ069M8vSUmH0ZcZZzwWAmDW/preview,1
60,recording-engineers-handbook,The Recording Engineer's Handbook,Bobby Owsinski,Recording techniques,create,3,https://drive.google.com/file/d/1xxrG88tKcb_it694jbrBnIJABB2lzMUu/preview,1
21,berklee-phase2,Berklee Phase 2,Larry Baione,"Reading drills, alternate picking, position shifting",doing,2,,1
25,fretboard-roadmaps,Fretboard Roadmaps,"Fred Sokolow & Tim Emmons",Fretboard navigation drills,doing,2,https://drive.google.com/file/d/1VGC_Vj4AKbTp7XDrKa4fOmIJ5QwwEV0Y/preview,1
22,funk-guitar,Funk Guitar,Ross Bolton,"Rhythm drills, 16th-note subdivision, muting",doing,2,,1
20,guitar-aerobics,Guitar Aerobics,Troy Nelson,365 daily exercises across 7 technique categories,doing,2,https://drive.google.com/file/d/1wQwnjW7ruN5wN90E5XfQyU7pikaENL7Q/preview,1
19,guitar-exercises-dummies,Guitar Exercises For Dummies,Phillips & Chappell,"Scale patterns, arpeggio drills, finger independence",doing,2,"https://thehearth.pro/pdfs/[For Dummies ] Mark Phillips, Jon Chappell - Guitar Exercises for Dummies (2009, Wiley Publishing) - libgen.li.pdf",1
23,satriani-guitar-secrets,Guitar Secrets,Joe Satriani,"Warm-ups, one-string scales, grouped articulations",doing,3,https://drive.google.com/file/d/1lhgCxXzv25_frvE-d8zrgr8sfeE5PLq1/preview,1
24,right-hand-development,Right Hand Development,Renard Hoover,Right hand technique development,doing,2,https://drive.google.com/file/d/1UDIFKUjsvcnjBEHRyWbVBIm_Ms6RjjIX/preview,1
15,leavitt-berklee-phase1,Berklee Phase 1,William Leavitt,Reading-first approach to guitar,foundation,1,https://drive.google.com/file/d/1wgHCgxQLj-e_QvcBHVIK_MElS0fIv9Ug/preview,1
13,complete-guitar-vol1,Complete Guitar Series Vol 1,Cary White,"Anatomy, posture, tuning, first chords",foundation,1,https://thehearth.pro/pdfs/cary-white-complete-guitar-vol1.pdf,1
18,guitar-building-blocks,Guitar Building Blocks,Patrick Stefurak,Foundation concepts,foundation,1,https://drive.google.com/file/d/1fZUz02ylBC6awvv4tIb4tCw1oqBO_oyH/preview,1
14,leavitt-modern-method-1,Modern Method for Guitar Vol 1,William Leavitt,Reading basics note identification,foundation,1,https://thehearth.pro/pdfs/leavitt-modern-method-complete.pdf,1
17,correct-practice,Principles of Correct Practice for Guitar,Jamie Andreas,How to practise — the meta-skill,foundation,1,https://drive.google.com/file/d/1OCCEm6H3eelRO0xrEmM5Zu2Ky59nG5XX/preview,1
16,teach-visually-guitar,Teach Yourself VISUALLY Guitar,Marc Schonbrun,Visual technique guides,foundation,1,https://drive.google.com/file/d/18fgV8HAPPJrWO1i_gwEzM2Rs3k8NGePw/preview,1
4,fretboard-logic,Fretboard Logic,Bill Edwards,,fretboard,2,,1
5,modern-method-guitar,Modern Method for Guitar,William Leavitt,,guitar,2,,1
1,rhythm-guitar,Rhythm Guitar,Ayla,Rhythm foundations,guitar,1,,1
7,advancing-guitarist,The Advancing Guitarist,Mick Goodrick,,guitar,3,,1
3,the-guitar-handbook,The Guitar Handbook,Ralph Denyer,,guitar,1,,1
9,chord-melody-fisher,Chord Melody,Jody Fisher,,jazz,3,https://drive.google.com/file/d/1TogfaltR-8iYEMT28m7jpjOT--U7G2rq/preview,1
10,improvisation-fisher,Improvisation,Jody Fisher,,jazz,3,https://drive.google.com/file/d/1RSQ7I-0Kw8frMRq_hScfHtVEXWPy8L5q/preview,1
