Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Theory as musical literacy,,,,,"The contents begin with a review of notation basics before moving into intervals, scales, keys, modes, chords, harmony, jazz harmony, and transposition.","Study should teach theory as literacy: the learner is not memorizing trivia, they are learning to read the signs of the musical world.",Study,Music Theory,Level 1,high,epub-good,"EPUB has no stable printed/PDF page numbers. Source location: Introduction and full contents."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Notation basics before abstraction,,,,,"Chapter 1 reviews visible music concepts such as notes, clefs, time, basic rhythms, rests, and meter.","Before asking a beginner to reason about scales or chords, Study should make the symbols legible: note, clef, beat, rest, meter.",Study,Reading Music,Level 1,high,epub-good,"Use for misunderstood-word prevention in Study."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Time as a core theory concept,,,,,"The basics chapter treats time, rhythm, rests, and meter as foundational rather than secondary.","Rhythm belongs in Study as well as Practice. The learner should understand rhythm symbols, then feel them through clapping, counting, tapping, and playing.",Study,Rhythm,Level 1,high,epub-good,"Good source for Study/Practice bridge."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Intervals as note relationships,,,,,"Chapter 2 presents intervals as the distance and relationship between single notes, including simple, advanced, inverted, and extended intervals.","Intervals should become the first grammar of pitch: how far one sound is from another, on the fretboard and in the ear.",Study,Intervals,Level 1,high,epub-good,"Connect to Foundation ask about 12 notes / half steps."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Major scale as structural model,,,,,"Chapter 3 introduces the major scale, spelling scales, scale tones, and how scales are used in music.","Study should make the major scale a pattern-maker, not a dry formula. It becomes the map behind keys, chords, melody, and later improvisation.",Study,Scales,Level 2,high,epub-good,"Connect to Doing when scale shapes arrive."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Minor scale variations,,,,,"Chapter 4 separates minor color, approaches to minor scales, degrees in minor scales, and the need for scale clarity.","Minor should be taught as a family of sounds with different emotional and harmonic functions, not just 'sad major'.",Study,Scales,Level 2,high,epub-good,"Useful later for emotion/sound comparisons."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Keys and key signatures as musical organization,,,,,"Chapter 5 frames musical keys and key signatures as systems of organization, including relative minor and key changes.","Key signatures should be introduced as a room the music lives in: they tell the learner which notes are expected before the piece begins.",Study,Keys,Level 2,high,epub-good,"Potential Study card with key-signature visual."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Modes as scale perspectives,,,,,"Chapter 6 introduces modes and other scales, including seven modal scales and how modes can be considered on their own.","Modes should be saved until the learner has enough scale context. When introduced, teach them as colors/perspectives built from familiar material.",Study,Modes,Level 4,high,epub-good,"Pairs later with QJam modal video resources."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Etudes as application checkpoints,,,,,"The book uses etude chapters after scale/key material and later after chord/harmony material.","The Hearth can use 'apply' checkpoints after clusters of Study concepts: short playable tasks that prove the idea has reached the fingers.",Study,Application,Level 2,medium,epub-good,"Supports Understand -> Experience -> Apply -> Own."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Chords as stacked tones,,,,,"Chapter 8 introduces what chords are, how chords are built, triad qualities, chords in scales, and minor scale harmony.","Chords should be taught as notes acting together. This supports fretboard understanding and helps a beginner see why chord shapes are not arbitrary.",Study,Chords,Level 2,high,epub-good,"Connect to Foundation E major and Doing chord drills."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Seventh chords and inversions,,,,,"Chapter 9 extends chord construction into seventh chords and inversions.","Sevenths and inversions are later grammar. They should be mapped as ways to change function, color, and bass motion rather than dumped early.",Study,Harmony,Level 4,high,epub-good,"Useful for jazz/blues later."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Chord progressions as movement,,,,,"Chapters 10 and 11 focus on chord progressions, tonic/dominant relationships, harmonic rhythm, and voice leading.","Progressions should be taught as movement and expectation. A learner should hear why one chord wants to go somewhere.",Study,Harmony,Level 3,high,epub-good,"Connect to Levitin anticipation source notes."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Melody and harmony connection,,,,,"Chapter 12 covers melody, chord tones, passing tones, melodic harmonization, single-line harmony, and accidentals.","Create and Study meet here: melody can be supported, colored, or pulled by harmony. This becomes songwriting and improvisation later.",Create,Harmony,Level 4,high,epub-good,"Useful for Create node and songwriting resources."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Advanced harmony should wait,,,,,"Later chapters cover beyond-diatonic harmony, modal mixture, modulation, jazz harmony, blues forms, and transposition.","Advanced harmony belongs later, after the learner can hear and name the simpler materials. Do not let advanced labels break the beginner gradient.",Study,Advanced Harmony,Level 5,high,epub-good,"Supports gradient design."
The Everything Music Theory Book,Marc Schonbrun,EPUB / music theory foundation,Glossary as misunderstood-word protection,,,,,"The book includes a glossary appendix and additional resources.","The simulator should maintain a Study glossary. When a learner struggles, the app should ask whether a word was unclear before assuming the concept failed.",Study,Glossary,Level 1,high,epub-good,"Directly supports misunderstood-word design principle."
