Title,Author,Format,Text Quality,Topic Category,Skill Nodes,Level Range,Priority,Current Status,Notes
Principles of Correct Practice for Guitar,Jamie Andreas,PDF,scanned,Teaching Philosophy / Technique,"Foundation; Technique; Practice",Level 1-3,Highest,On Disk,"Core source for body awareness, correct practice, tension release, and physical learning philosophy."
Guitar Exercises for Dummies,Mark Phillips & Jon Chappell,PDF,text-based,Beginner Guitar / Exercises,"Foundation; Doing; Technique; Chords",Level 1-3,High,On Disk,"Beginner exercises, hand coordination, first chords, and practical foundation work."
Berklee Practice Method Complete,Larry Leavitt,PDF,text-based,Structured Method,"Doing; Practice; Theory; Reading",Level 1-4,High,On Disk,"Progressive skill-building reference for quest progression and practice design."
Guitar Aerobics,Nelson,PDF,text-based,Daily Practice,"Practice; Technique; Doing",Level 1-8,High,On Disk,"Model for daily challenge systems and rotating technical development."
Classical Guitar,Noad,PDF,scanned,Classical Method / Fundamentals,"Foundation; Technique; Reading",Level 1-4,High,On Disk,"Strong posture, reading, tone, and technique fundamentals from scratch."
Modern Method for Guitar Complete,Larry Leavitt,PDF,unknown,Berklee Method / Reading / Theory,"Knowing; Theory; Fretboard; Technique",Level 1-8,High,On Disk,"Berklee gold standard for reading and theory progression."
This Is Your Brain on Music,Daniel Levitin,PDF,text-based,Music Cognition,"Hearth; Study; Teaching Philosophy",Level 1-8,Medium,Processed Batch 002,"Useful for neuroscience and why music learning works. Text extraction is good and source notes have been seeded."
Illustrated Guitar,Maran,PDF,scanned,Beginner Guitar,"Foundation; Chords; Technique",Level 1-2,Medium,On Disk,"Beginner-oriented but lower priority until OCR quality is known."
The Advancing Guitarist,Mick Goodrick,PDF,unknown,Guitar Philosophy / Fretboard,"Study; Fretboard; Improvisation / Creation",Level 3-8,High,Missing,"Would strengthen the philosophical/quest framing of becoming a guitarist."
Fretboard Theory,Desi Serna,PDF,unknown,Fretboard / CAGED,"Fretboard; Theory; Chords; Scales & Lead",Level 2-6,High,Missing,"Important missing CAGED and pattern-based fretboard source."
Fretboard Logic Box Set,Bill Edwards,PDF,scanned,Fretboard / CAGED,"Study; Fretboard; Chords; Scales",Level 2-6,High,Processed Batch 003,"Now on disk. Scanned source; OCR needed for CAGED/fretboard system overview."
The Guitar Handbook,Ralph Denyer,PDF,scanned,Broad Guitar Reference,"Foundation; Knowing; Doing; Reference",Level 1-5,Medium,Processed Batch 003,"Now on disk. Large scanned reference; useful for private library and selected reference notes."
Teach Yourself VISUALLY Guitar,Charles Kim,PDF,text-based,Beginner Guitar / Visual Method,"Foundation; Doing; Chords; Reference",Level 1-3,Medium,Processed Batch 003,"Text extraction is good. Useful for beginner visual sequence and foundation reference."
Guitar Building Blocks,Patrick Stefurak,PDF,text-based,Beginner Guitar / Practice,"Foundation; Practice; Doing",Level 1-3,Medium,Processed Batch 003,"Text extraction is good. Useful for practice framing and beginner concept sequence."
The Everything Music Theory Book,Marc Schonbrun,EPUB,text-based,Music Theory,"Study; Knowing; Theory; Vocabulary",Level 1-5,High,Processed Batch 003,"EPUB extraction is good. Strong candidate for Study node glossary and theory sequence."
Pumping Nylon: Easy to Early Intermediate Repertoire,Scott Tennant,PDF,mostly scanned,Classical Repertoire,"Practice; Knowing; Classical",Level 2-4,Low,Processed Batch 003,"Appears to be the repertoire supplement rather than the main Pumping Nylon technique text."
The Everything Rock & Blues Guitar Book,Marc Schonbrun,PDF,scanned,Rock / Blues Guitar,"Doing; Create; Blues; Rock",Level 2-5,Medium,Processed Batch 003,"Scanned source; OCR table of contents later for style path and creative resource mapping."
JustinGuitar Materials,Justin Sandercoe,Website / Video,text-based,Beginner Progression,"Foundation; Chords; Rhythm; Songs",Level 1-3,High,To Source / Reference,"Use as visible resource and progression benchmark rather than PDF source."
Peak,Anders Ericsson,Book,unknown,Deliberate Practice / Learning Science,"Practice; Teaching Philosophy; Study",Level 1-8,High,Missing,"Would ground practice design in deliberate practice, chunking, and expertise research."
Learning the Classic Guitar Parts 1-3,Aaron Shearer,PDF,scanned,Technique / Reading / Interpretation,"Foundation; Study; Practice; Mastery",Level 1-5,High,Processed Batch 002,"Three scanned books now on disk. Visual TOC notes have been seeded; OCR is needed for deep extraction."
