Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Music and science as one inquiry,1,12,7,18,"The introduction frames music as both personal experience and scientific mystery, joining listening, memory, sound, and perception.","The Hearth node can explain that learning guitar is not only technical progress. It changes how the learner hears, attends, remembers, and makes meaning.",Hearth,Learning Science,Level 1,high,text-good,"Printed page to PDF page offset is plus 6 for main text."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,What music is made of,13,54,19,60,"Chapter 1 introduces core musical elements such as pitch, timbre, melody, rhythm, harmony, loudness, tempo, meter, and contour.","Study should define musical vocabulary as living sound, not as dead terminology. This supports the music-as-language model: vocabulary before grammar.",Study,Music Vocabulary,Level 1,high,text-good,"Useful for beginner definitions and misunderstood-word support."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Rhythm loudness and harmony as perception,55,80,61,86,"Chapter 2 focuses on how listeners discern rhythm, loudness, and harmony as organized musical information.","Rhythm lessons should include listening and body response, not only counting. The learner should experience rhythm as felt prediction and movement.",Study,Rhythm,Level 1,high,text-good,"Strong bridge between Study and Practice."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,The mind as music-processing machine,81,108,87,114,"Chapter 3 explores how the mind processes music behind conscious awareness.","The Hearth can use this to explain why repetition works: some guitar learning becomes automatic because the brain builds listening and movement patterns below the surface.",Hearth,Learning Science,Level 1,high,text-good,"Useful for automaticity explanations."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Anticipation and musical expectation,109,128,115,134,"Chapter 4 centers musical expectation and anticipation: the mind listens forward, predicting what might happen next.","TeachingEngine ask moments can use anticipation: before revealing a sound or chord movement, ask the learner what they expect to hear.",Study,Ear Training,Level 2,high,text-good,"Potential source for interactive listening design."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Categorizing music,129,164,135,170,"Chapter 5 examines how humans categorize music, names, styles, patterns, and memory cues.","The simulator can help learners build mental shelves: chords, sounds, styles, and techniques become findable categories rather than loose facts.",Knowing,Pattern Recognition,Level 2,high,text-good,"Supports taxonomy and library design."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Music emotion and the brain,165,188,171,194,"Chapter 6 connects music, emotion, memory, and older brain systems involved in response and feeling.","The Hearth voice can safely tell learners that emotional response is not decoration. Feeling is part of how music becomes memorable and meaningful.",Hearth,Music And Emotion,Level 1,high,text-good,"Good source for Hearth reflections after practice."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Expertise and musicianship,189,216,195,222,"Chapter 7 focuses on what makes a musician and how expertise can be understood.","Practice design should connect daily repetition to long-term expertise without making mastery feel mystical or unreachable.",Practice,Learning Science,Level 2,high,text-good,"Useful for visible intervals to mastery."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Why people like what they like,217,240,223,246,"Chapter 8 looks at taste, preference, familiarity, and personal musical identity.","The simulator should let learners keep a personal song/world map. Motivation grows when technique connects to music the learner actually cares about.",Hearth,Identity And Taste,Level 1,high,text-good,"Supports learner profile and recommendation design."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Music as human instinct,241,262,247,268,"Chapter 9 considers music as a broad human capacity rather than a narrow specialist skill.","The Hearth can frame guitar learning as joining an ancient human behavior: pattern, voice, rhythm, memory, belonging, and expression.",Mastery,Music Philosophy,Level 1,high,text-good,"Good philosophical support for the simulator's tone."
This Is Your Brain on Music,Daniel J. Levitin,Music cognition / neuroscience,Bibliographic trail,271,300,277,306,"The bibliographic notes provide a route back to research and further reading.","Martin's backend should preserve citation fields so Hearth explanations can remain source-traceable without turning the learner interface into an academic paper.",Hearth,Source Traceability,Level 1,high,text-good,"Use for future research bibliography; do not overexpose in beginner UI."
