book_identity_id,slug,title,author,format,text_quality,topic_category,skill_nodes,source_role,source_status,canonical_inventory_id,canonical_local_file,duplicate_file_count,notes
book-id-001,aaron-shearer-mel-bay-learning-the-classic-guitar-part-1-1990-mel-bay-publications-inc,"Mel Bay Learning the Classic Guitar Part 1 (1990, Mel Bay Publications, Inc.)",Aaron Shearer,PDF,scanned / OCR needed,Classical / Technique,Foundation; Doing; Practice,Curriculum spine source,Active Source,book-051,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Learning the Classic Guitar_ Part 1 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-002,aaron-shearer-mel-bay-presents-aaron-shearer-learning-the-classic-guitar-part-2-1990-mel-bay-publications-inc,"Mel Bay Presents Aaron Shearer Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.)",Aaron Shearer,PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-052,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Presents_ Aaron Shearer_ Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-003,aaron-shearer-mel-bay-aaron-shearer-learning-the-classic-guitar-part-3-book-and-cd-1995-mel-bay-publications-inc,"Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.)",Aaron Shearer,PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Potential source after OCR,OCR Later,book-050,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-004,adam-kadmon-the-guitar-grimoire-a-compendium-of-formulas-for-guitar-scales-and-modes-1991,The Guitar Grimoire A Compendium of Formulas for Guitar Scales and Modes (1991),Adam Kadmon,PDF,scanned / OCR needed,Theory / Fretboard,Study; Knowing,Potential source after OCR,OCR Later,book-001,/Users/alessandralove/Downloads/Guitar Resources/ Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-005,aniruddh-d-patel-music-language-and-the-brain-2007-oxford-university-press-usa,"Music, Language, and the Brain (2007, Oxford University Press, USA)",Aniruddh D. Patel,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Curriculum spine source,Active Source,book-070,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-006,ashley-mark-jazz-guitar-artistry-ashley-mark-jazz-series-for-guitar-1990,Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990),Ashley Mark,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-003,/Users/alessandralove/Downloads/Guitar Resources/ Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf,0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-007,bill-edwards-fretboard-logic-box-set-3-volumes-and-2-videos-combined-in-two-books-and-one-dvd-disc-2002-bill-edwards-publishing,"Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing)",Bill Edwards,PDF,scanned / OCR needed,Theory / Fretboard,Study; Knowing; Doing,Curriculum spine source,Active Source,book-053,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Bill Edwards - Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-008,bobby-owsinski-the-recording-engineer-s-handbook-2009-course-technology-cengage-learning,"The Recording Engineer's Handbook (2009, Course Technology Cengage Learning)",Bobby Owsinski,PDF,text-based / extraction likely good,Recording / Production,Foundation; Knowing; Create; Doing,Reference shelf / private library,Private Library,book-039,"/Users/alessandralove/Downloads/Guitar Resources/[Artistpro] Bobby Owsinski - The Recording Engineer's Handbook (2009, Course Technology Cengage Learning) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-009,brian-hodel-the-brazilian-masters-the-music-of-jobim-bonfa-and-baden-powell-arranged-for-solo-guitar-guitar-scores-tro-hollis-music-inc,"The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.)",Brian Hodel,PDF,scanned / OCR needed,Unclassified,To Review,Potential source after OCR,OCR Later,book-004,"/Users/alessandralove/Downloads/Guitar Resources/ Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-010,bruce-arnold-music-theory-workbook-for-guitar-volume-one-1997-muse-eek-publishing,"Music Theory Workbook for Guitar Volume One (1997, muse eek publishing)",Bruce Arnold,PDF,scanned / OCR needed,Theory / Fretboard,Study; Knowing,Potential source after OCR,OCR Later,book-005,"/Users/alessandralove/Downloads/Guitar Resources/ Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
