unit_id,unit_title,step_order,step_type,step_title,teaching_purpose,content_brief,action_renderer_key,ask_correct_choice,ask_choices,source_anchor,visible_citation,own_condition
FND-001,Welcome To The Hearth,1,speak,Enter The Hearth,Set emotional orientation,"Guide welcomes learner into a symbolic learning world rather than a normal course list.",,,,"Original Hearth orientation",,Learner can say why the simulator is a map and not a playlist
FND-001,Welcome To The Hearth,2,cards,Course Tool World,Clarify what kind of app this is,"Three cards compare course list practice tool and learning world.",,,,"Original Hearth orientation",,Learner can say why the simulator is a map and not a playlist
FND-001,Welcome To The Hearth,3,action,Map Preview,Give visual mass to the world idea,"Learner sees a simple preview of the 8-node world and how nodes remember progress.",foundation.node_map_preview,,,"Original Hearth orientation",,Learner can say why the simulator is a map and not a playlist
FND-001,Welcome To The Hearth,4,ask,Why A Map,Check orientation,"Ask why the simulator uses a map instead of a playlist.",,"Because learning has places paths and return points","Because it looks cool | Because learning has places paths and return points | Because every lesson must be finished in order","Original Hearth orientation",,Learner can say why the simulator is a map and not a playlist
FND-001,Welcome To The Hearth,5,end,World Remembered,Own the frame,"Learner confirms this is a world that remembers the journey.",,,,"Original Hearth orientation",,Learner can say why the simulator is a map and not a playlist
FND-002,The 8 Nodes And How To Use Them,1,speak,Different Rooms For Different Learning,Introduce node roles,"Guide explains that different kinds of learning need different rooms.",,,,"Original Hearth orientation",,Learner can choose the right node for a learning need
FND-002,The 8 Nodes And How To Use Them,2,cards,First Four Nodes,Name practical node roles,"Cards introduce Foundation Doing Knowing and Practice.",,,,"Original Hearth orientation",,Learner can choose the right node for a learning need
FND-002,The 8 Nodes And How To Use Them,3,cards,Second Four Nodes,Name reflective/creative node roles,"Cards introduce Study Create Hearth and Mastery.",,,,"Original Hearth orientation",,Learner can choose the right node for a learning need
FND-002,The 8 Nodes And How To Use Them,4,action,Node Need Matcher,Apply node choice,"Learner matches needs to nodes: reference practice reflection creativity technique.",foundation.node_need_matcher,,,"Original Hearth orientation",,Learner can choose the right node for a learning need
FND-002,The 8 Nodes And How To Use Them,5,ask,Where For Sources,Check node understanding,"Ask which node helps when the learner needs a source or reference.",,Knowing,"Doing | Knowing | Create | Mastery","Original Hearth orientation",,Learner can choose the right node for a learning need
FND-002,The 8 Nodes And How To Use Them,6,end,Eight Doors,Own node map,"Learner confirms they can choose a helpful node instead of wandering.",,,,"Original Hearth orientation",,Learner can choose the right node for a learning need
FND-003,How Lessons Work,1,speak,Small Steps On Purpose,Introduce learning staircase,"Guide explains that lessons move in small steps intentionally.",,,,"Original Hearth design realization",,Learner can identify Understand Experience Apply Own
FND-003,How Lessons Work,2,cards,The Four Moves,Define lesson flow,"Cards define Understand Experience Apply and Own.",,,,"Original Hearth design realization",,Learner can identify Understand Experience Apply Own
FND-003,How Lessons Work,3,action,Lesson Staircase,Give physical/visual mass,"Learner walks a mini staircase showing how an idea becomes owned.",foundation.lesson_staircase,,,"Original Hearth design realization",,Learner can identify Understand Experience Apply Own
FND-003,How Lessons Work,4,ask,Which Step Tries It,Check lesson flow,"Ask which step means physically trying or noticing the idea.",,Experience,"Understand | Experience | Own","Original Hearth design realization",,Learner can identify Understand Experience Apply Own
FND-003,How Lessons Work,5,end,Staircase Owned,Own lesson rhythm,"Learner confirms the four-step rhythm.",,,,"Original Hearth design realization",,Learner can identify Understand Experience Apply Own
FND-004,The Three Learning Barriers,1,speak,Confusion Has Causes,Prevent self-blame,"Guide explains that stuckness has causes and can be diagnosed.",,,,"Hubbard study-tech concept plus Hearth design notes",,Learner can identify mass gradient or misunderstood word
