Duplicate Group,Book Identity ID,Inventory ID,Title,Author,Canonical Copy,Recommended Action,Local File
dup-book-id-005,book-id-005,book-002,"Music, Language, and the Brain (2007, Oxford University Press, USA)",Aniruddh D. Patel,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf"
dup-book-id-005,book-id-005,book-070,"Music, Language, and the Brain (2007, Oxford University Press, USA)",Aniruddh D. Patel,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf"
dup-book-id-016,book-id-016,book-010,"Making Music and Enriching Lives A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",Cynthia Blanchard Acree,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf"
dup-book-id-016,book-id-016,book-071,"Making Music and Enriching Lives A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",Cynthia Blanchard Acree,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/LEARNING/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf"
dup-book-id-017,book-id-017,book-055,"This is your brain on music the science of a human obsession (2007, Plume Penguin Audio)",Daniel J Levitin,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf"
dup-book-id-017,book-id-017,book-072,"This is your brain on music the science of a human obsession (2007, Plume Penguin Audio)",Daniel J Levitin,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/LEARNING/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf"
dup-book-id-021,book-id-021,book-068,"English Handbook and Study Guide A Comprehensive English Reference Book{Beryl Lutrin Marcelle Pincus}(2004, Berlut Books)",,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf"
dup-book-id-021,book-id-021,book-078,"English Handbook and Study Guide A Comprehensive English Reference Book{Beryl Lutrin Marcelle Pincus}(2004, Berlut Books)",,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf"
dup-book-id-043,book-id-043,book-026,"Music as Discourse Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA)",Kofi Agawu,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf"
dup-book-id-043,book-id-043,book-075,"Music as Discourse Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA)",Kofi Agawu,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf"
dup-book-id-052,book-id-052,book-031,Guitar Building Blocks (1996),Patrick Stefurak,No,Mark as duplicate/archive; do not delete automatically,/Users/alessandralove/Downloads/Guitar Resources/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf
dup-book-id-052,book-id-052,book-059,Guitar Building Blocks (1996),Patrick Stefurak,Yes,Keep as canonical working copy,/Users/alessandralove/Downloads/Guitar Resources/Done/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf
dup-book-id-053,book-id-053,book-040,"BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li (1)",PECKHAM RICK,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li (1).pdf"
dup-book-id-053,book-id-053,book-041,"BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED)",PECKHAM RICK,Yes,Keep as canonical working copy,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li.pdf"
dup-book-id-054,book-id-054,book-032,"The Science of Self-Learning How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.)",Peter Hollins,No,Mark as duplicate/archive; do not delete automatically,"/Users/alessandralove/Downloads/Guitar Resources/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub"
