Discipline Order,Source Discipline,Hearth Discipline,Normalized Skill Node,Primary App Nodes,Notes
1,Rhythm,Rhythm,Rhythm,"Doing; Practice; Knowing","Pulse, meter, subdivision, syncopation, groove, polyrhythm."
2,Chords & Harmony,Chords & Harmony,Chords,"Foundation; Doing; Knowing","Open chords through extended harmony and modulation."
3,Scales,Scales,Scales & Lead,"Doing; Knowing; Study","Pentatonic through exotic and altered scales."
4,Technique & Improvisation,Technique,Technique,"Doing; Practice","Body mechanics, articulation, bending, legato, vibrato, tapping, speed."
5,Technique & Improvisation,Improvisation,Improvisation / Creation,"Doing; Create; Mastery","Applying vocabulary in real time over blues, modes, ii-V-I, 7th chords, outside sounds."
6,Picking Technique,Picking Technique,Technique,"Doing; Practice","Alternate picking, palm muting, economy, sweep, speed."
7,Arpeggios,Arpeggios,Scales & Lead,"Knowing; Doing; Mastery","Triads, 7th arpeggios, spread triads, modal arpeggios."
8,Fingerstyle,Fingerstyle,Technique,"Doing; Practice; Mastery","Fingerstyle, Travis picking, classical/modern pieces, tremolo, rasgueado."
9,Theory,Theory,Theory,"Knowing; Study","Intervals, harmony, modes, substitutions, advanced theory."
10,Reading Music,Reading Music,Songs,"Study; Knowing; Practice","Notation, rhythm reading, position reading, multi-voice reading. Develop through the Study node."
