Priority,Title,Author,Local File,Pages,Reason,Recommended OCR Scope,Status,Notes
1,Principles of Correct Practice for Guitar,Jamie Andreas,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Jamie Andreas - Principles of Correct Practice for Guitar (1999, Jamey World, Inc.) - libgen.li.pdf",89,Philosophical spine for correct practice and tension-aware learning,"Priority OCR printed pages 13-27, 33-40, 69-77; then right hand/pickstyle pages 40-56 and left hand pages 57-68",Queued,Highest value scanned source. TOC has been visually inspected and source-note seeded.
2,Berklee Basic Guitar Phase 1,William Leavitt,"/Users/alessandralove/Downloads/Guitar Resources/ William Leavitt - Berklee Basic Guitar - Phase 1_ Guitar Technique (Guitar Method) (1986, Berklee Press Publications) - libgen.li.pdf",56,Beginner reading and technique progression,"TOC and early pages on basic technique, notation, and first-position reading",Queued,Useful for Foundation and Study.
3,Berklee Basic Guitar Phase 2,William Leavitt,"/Users/alessandralove/Downloads/Guitar Resources/ William Leavitt - Berklee Basic Guitar - Phase 2_ Guitar Technique (Guitar Solo) (1986, Berklee Press Publications) - libgen.li.pdf",64,Continuation of Berklee beginner progression,"TOC and progression overview first",Queued,Useful after Phase 1 structure is understood.
4,Learning the Classic Guitar Part 1,Aaron Shearer,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Learning the Classic Guitar_ Part 1 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",162,Foundational technique method with posture tone right-hand and left-hand training,"OCR TOC plus printed pages 1-27 and 29-42 first; then pages 43-91",Queued,Legible scanned source. High value for Foundation and first-sounds lesson design.
5,Learning the Classic Guitar Part 2,Aaron Shearer,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Presents_ Aaron Shearer_ Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",218,Reading music method designed to run alongside technique,"OCR TOC plus printed pages 1-43 first; then memorization pages 212-220",Queued,High value for Study node and beginner notation pathway.
6,Learning the Classic Guitar Part 3,Aaron Shearer,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.) - libgen.li.pdf",87,Interpretation phrasing performance anxiety and expressive development,"OCR TOC plus printed pages 4-50 and 60-81 after beginner sources",Queued,Later-stage source for Mastery performance and expression.
7,Fretboard Logic Box Set,Bill Edwards,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Bill Edwards - Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing) - libgen.li.pdf",287,CAGED and pattern-based fretboard system,"OCR TOC and fretboard system overview first",Queued,High value for Study/fretboard architecture.
8,The Guitar Handbook,Ralph Denyer,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Ralph Denyer - The Guitar Handbook (1992, Dorling Kindersley_Knopf) - libgen.li.pdf",256,Broad guitar reference covering instrument knowledge technique styles and gear,"OCR TOC and beginner/reference sections after higher-priority foundation sources",Queued,Large scanned reference; useful but not first OCR target.
9,Pumping Nylon: Easy to Early Intermediate Repertoire,Scott Tennant,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon_ Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company) - libgen.li.pdf",64,Classical repertoire supplement,"OCR only if selected repertoire becomes part of Practice or Knowing",Queued,This appears to be the repertoire volume rather than the main Pumping Nylon technique text.
10,Pumping Nylon,Scott Tennant,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon (1995, Alfred Pub Co) - libgen.li.pdf",96,Classical technique warm-up and mechanics source,"OCR technique table of contents and warm-up/mechanics sections after Foundation sources",Queued,Higher priority than the repertoire supplement for Practice technique.
11,The Everything Rock & Blues Guitar Book,Marc Schonbrun,"/Users/alessandralove/Downloads/Guitar Resources/Done/[Everything Series] Marc Schonbrun - The Everything Rock & Blues Guitar Book_ From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media) - libgen.li.pdf",285,Rock and blues chords scales licks and style material,"OCR TOC later for style path and creative resource mapping",Queued,Useful after core beginner map and fretboard map are stable.
