Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
Guitar Aerobics,Troy Nelson,Daily technique method,52-week one-lick-per-day structure,1,110,3,115,"The book is organized as a 52-week program with 365 exercises, one lick per day, designed to develop, improve, and maintain guitar technique.","This is a strong source model for the Practice node: daily contact, small repeatable challenge, long arc, visible streak, and rotation through technique categories.",Practice,Technique,Level 1,high,text-good,"The printed page mapping is rough because early front matter/page numbering is inconsistent."
Guitar Aerobics,Troy Nelson,Daily technique method,Practice should stay musical,4,4,6,6,"The introduction rejects bland chromatic exercise books and aims for technique examples that apply to real musical settings across styles such as rock, blues, jazz, country, and funk.","The Hearth Practice node should avoid sterile drills. Even technical exercises should feel connected to musical use, style, sound, and future expression.",Practice,Technique,Level 1,high,text-good,"Central design principle for drill authoring."
Guitar Aerobics,Troy Nelson,Daily technique method,Fun protects consistency,4,4,6,6,"The introduction names monotony as a problem in practice and presents fun, musically relevant material as part of the solution.","Practice design should protect motivation. A learner returns when the drill feels like a small musical spell, not punishment.",Practice,Technique,Level 1,high,text-good,"Useful for tone of Practice node."
Guitar Aerobics,Troy Nelson,Daily technique method,Technique rotation by day,5,5,7,7,"The book rotates seven techniques, one for each day of the week: alternate picking, string skipping, string bending, arpeggios, sweep picking, legato, and rhythm.","The Practice node can use rotating daily categories. This creates variety while keeping a stable ritual: each day has a technical focus.",Practice,Technique,Level 1,high,text-good,"Strong candidate for app mechanic."
Guitar Aerobics,Troy Nelson,Daily technique method,Alternate picking as foundational motion,5,5,7,7,"Alternate picking is presented as a fundamental technique that can be applied in any musical context.","Doing/Practice should treat alternate picking as early core technique: not flashy, but the hand's basic engine for many later skills.",Doing,Picking Technique,Level 1,high,text-good,"Maps to QJam Picking Technique."
Guitar Aerobics,Troy Nelson,Daily technique method,String skipping as targeted coordination,5,5,7,7,"String skipping is framed as useful beyond rock/metal, with examples in blues, jazz, rock, and metal.","String skipping can become a later coordination challenge: the player learns to cross space deliberately rather than only moving stepwise.",Doing,Technique,Level 3,high,text-good,"Likely not Level 1 beginner material."
Guitar Aerobics,Troy Nelson,Daily technique method,String bending as expressive technique,5,5,7,7,"String bending examples include quarter-step, half-step, whole-step, oblique, unison, compound, and pre-bends.","Bending belongs where technique starts becoming voice. Teach it as pitch control and emotional inflection, not just finger strength.",Doing,Technique,Level 3,high,text-good,"Connects to improvisation and blues expression."
Guitar Aerobics,Troy Nelson,Daily technique method,Arpeggios as coordinated motion,5,5,7,7,"The book notes that an arpeggio is not itself a technique, but the coordinated right- and left-hand movement required to perform one qualifies as technical practice.","Good distinction for Knowing/Doing: arpeggios are harmony unfolded, but practicing them trains coordination and map awareness.",Knowing,Arpeggios,Level 3,high,text-good,"Pairs with Dummies arpeggio source notes."
Guitar Aerobics,Troy Nelson,Daily technique method,Style context for exercises,4,5,6,7,"Exercises are placed in musical style contexts such as rock, blues, jazz, metal, country, and funk.","Practice challenges should include style tags. A lick is easier to care about when the learner knows what musical world it belongs to.",Practice,Technique,Level 1,high,text-good,"Useful database field: style_context."
Guitar Aerobics,Troy Nelson,Daily technique method,Tempo scaffolding,3,4,4,5,"The CD track listings include rhythm tracks at different BPMs and styles, supporting practice across tempos.","Practice sessions should store BPM, tempo range, and pass condition. The app can encourage slow-to-clean before speed.",Practice,Rhythm,Level 1,medium,text-good,"Exact tempo data can be extracted later if needed."
Guitar Aerobics,Troy Nelson,Daily technique method,Week 1 as pattern of rotating challenge,6,7,8,9,"Week 1 introduces daily exercises across multiple techniques, each with a music description, technique, genre, tip, and tempo marking.","This suggests a useful drill object shape: title, technique, genre/style, description, physical tip, tempo range, source reference, and pass condition.",Practice,Technique,Level 1,high,text-good,"Good source for practice_drill schema."
Guitar Aerobics,Troy Nelson,Daily technique method,Technical tips as micro-teaching,6,12,8,18,"Each exercise includes a short tip, often about picking direction, fretting-hand preparation, bend intonation, or not rushing rhythmic figures.","The app should store micro-corrections with drills. These become the guide's voice during practice: one precise thing to notice.",Practice,Technique,Level 1,high,text-good,"Strong TeachingEngine/action-step potential."
