Level,Discipline,Title Raw,URL,Source,Source PDF Page,Status,Notes
Level 1,Rhythm,[1] Improving Time Feel & Rhythm – Crystal Clear - PART 1,https://www.youtube.com/watch?v=tvwirhdzCuo,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 1,Chords and harmony,[1] 8 Open Chords That You Should Know! | Guitar for Beginners,https://www.youtube.com/watch?v=lRJ_d3PqPIQ,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 1,Scales,[2] THIS is how you learn the PENTATONICS,https://www.youtube.com/watch?v=X9rYOhX77mA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 1,Technique and improvisation,[4] How T o Get Started With Blues Solo on Guitar,https://www.youtube.com/watch?v=6iLluqLwRAA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 2,Rhythm,[2] Improving Time Feel & Rhythm – Crystal Clear - PART 2,https://www.youtube.com/watch?v=xW9Yk4W6Rm0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 2,Chord and harmony,[3] (JUSTINGUITAR) Your Ultimate Power Chords Guide for Beginners,https://www.youtube.com/watch?v=ZBYoI7e3v5Y,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 2,Chord and harmony,[5] (JUSTINGUITAR) How to Play 12 Bar Blues on Guitar for Beginners,https://www.youtube.com/watch?v=rLm99QI8eWs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Rhythm,[1] Improving Time Feel & Rhythm – Crystal Clear - PART 1,https://www.youtube.com/watch?v=tvwirhdzCuo,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Chords and harmony,[6] JUSTINGUITAR_ Fail-Proof Guide T o Easy Barre Chords on Guitar,https://www.youtube.com/watch?v=IxXG5S8vSd8,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Chords and harmony,[ 3] SLASH CHORDS for Guitar – CRYSTAL CLEAR,https://www.youtube.com/watch?v=bz5UMF2K1ho,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Chords and harmony,[ 4] TRIADS and inversions - SUPER TOOL - Easy to Advanced,https://www.youtube.com/watch?v=J2sDtZedIBk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Scales,[5] 5 levels of the pentatonic scale - Zero to Hero (Chapter: Blue note),https://www.youtube.com/watch?v=7KsZgWXj_TQ,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Arpeggios,[6] Combining TRIAD ARPEGGIOS for ADVANCED USE,https://www.youtube.com/watch?v=-FFJ-OULakc,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 3,Theory,[7] Intervals for guitar,https://www.youtube.com/watch?v=axYQzYaajC4,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Rhythm,[2] Improving Time Feel & Rhythm – Crystal Clear - PART 2,https://www.youtube.com/watch?v=xW9Yk4W6Rm0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Rhythm,[ 64] Guitar Tutorial – Super Funky Muted Riffs STEP by STEP,https://youtu.be/DFsaCB9k_QY,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Chords and harmony,[8] SHELL VOICINGS – ALL Jazz Chords with only 8 SHAPES,https://www.youtube.com/watch?v=Z8gAP_zOMQs,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Arpeggios,[8] Awesome SPREAD TRIADS for GUITAR ! – Crystal Clear Tutorial,https://www.youtube.com/watch?v=39OmrTGjBb0,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Arpeggios,[ 9] One shape for all guitar arpeggios: Pure Magic!,https://www.youtube.com/watch?v=vcaZDOLvvNU,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Theory,"[10] All About KEYS, SCALES and the CIRCLE of FIFTHS",https://www.youtube.com/watch?v=VeTAoOpgy5k,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Theory,[ 47] Guitar Hack – Find NOTES and CHORDS in any KEY instantly!,https://youtu.be/itwRljB5fIk,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 4,Theory,"[11] Building Chords on Guitar: 7, 9, 11 and 13 chords (part2)",https://www.youtube.com/watch?v=Uqbl-L3ydXA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Rhythm,"[12] Odd Time Signatures for GUITAR – theory, songs & examples",https://www.youtube.com/watch?v=CT6_4Bhg-Ms,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Rhythm,[ 46] How to create PROG ROCK – Ingredients & recipes (chapter: odd time signatures),https://youtu.be/aM1FyU-mXKw,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Chords and harmony,[46] How to create PROG ROCK – Ingredients & recipes,https://youtu.be/aM1FyU-mXKw,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
Level 5,Chords and harmony,"[11] Building Chords on Guitar: 7, 9, 11 and 13 chords (part2)",https://www.youtube.com/watch?v=Uqbl-L3ydXA,QJamTracks Road Map For Learning Guitar,3,To Review,Extracted from wrapped PDF text; title may need cleanup.
