Priority,Source,Author,Primary Role,Hearth Nodes,Why It Matters,Text/OCR Status,First Extraction Scope,Output To Build
1,Principles of Correct Practice for Guitar,Jamie Andreas,Practice philosophy and body-aware technique,Foundation; Practice; Doing; Hearth,"Defines attention, tension, correct practice, and how the body learns. This should shape the simulator voice and failure-recovery design.",Scanned / OCR needed,"Printed pages 13-27, 33-40, 69-77; then right hand and left hand sections.",Practice principles source notes; Foundation body-scan and first-sound lesson support
2,Learning the Classic Guitar Part 1,Aaron Shearer,Foundation technique sequence,Foundation; Doing; Practice,"Gives a disciplined beginner technique path: positioning, tone, rest stroke, free stroke, left hand, and efficient movement.",Scanned / OCR needed,TOC plus printed pages 1-27 and 29-42 first.,Foundation technique map; source support for rest/free stroke interaction
3,Fretboard Logic Box Set,Bill Edwards,Fretboard/CAGED architecture,Study; Knowing; Doing,Provides a pattern-based fretboard model. This can anchor Study once Foundation has begun.,Scanned / OCR needed,TOC plus CAGED/fretboard system overview.,Fretboard map source notes; Study node concept graph
4,The Everything Music Theory Book,Marc Schonbrun,Beginner-friendly theory and vocabulary,Study; Knowing,"Text-readable theory source for glossary, misunderstood-word prevention, and Study node sequencing.",EPUB / extraction good,"TOC, fundamentals, rhythm, scales, chords, key signatures, intervals.",Study glossary; music-as-language vocabulary ladder
5,Development of Professional Expertise,K. Anders Ericsson,Expertise and deliberate practice research,Hearth; Practice; Mastery; Study,"Gives scientific grounding for deliberate practice, feedback, expert development, and visible intervals to mastery.",Text-based / extraction good,"Introduction, deliberate practice/expert performance chapters, learning environment design sections.",Hearth learning-science notes; Practice design principles for Martin
6,The Cambridge Handbook of Expertise and Expert Performance,K. Anders Ericsson et al.,Broad expertise research reference,Hearth; Practice; Mastery; Study,"A deeper reference for learning science and cross-domain simulator design, especially useful beyond guitar.",Text-based / extraction good,Do not process end to end. Pull selected chapters only after the practice model is clearer.,Research backing for reusable simulator engine and progress model
7,"Music, Language, and the Brain",Aniruddh D. Patel,Music-language-neuroscience bridge,Hearth; Study,Supports the core idea that music can be understood through language-like learning and brain development.,Text-based / extraction good,Overview chapters and rhythm/language/music cognition sections.,Hearth explanation notes; music-as-language framework support
8,This Is Your Brain on Music,Daniel J. Levitin,Accessible music cognition and emotion,Hearth; Study; Mastery,"Already source-noted. Good for learner-facing explanations about sound, memory, emotion, anticipation, taste, and expertise.",Text-based / extraction good,Already mapped at chapter level; deepen only when Hearth lessons need it.,Hearth reflections and source-backed explanations
9,Guitar Building Blocks,Patrick Stefurak,Beginner practice framing,Foundation; Practice; Doing,Text-readable beginner source that can support the practical sequence after the philosophical spine is stable.,Text-based / extraction good,Practice planning and early beginner concept sequence.,Foundation/Practice support notes
10,Guitar Exercises for Dummies,Mark Phillips & Jon Chappell,Practical beginner exercises,Doing; Practice; Foundation,"Already source-noted. Useful for turning concepts into small, practical beginner tasks.",Text-based / extraction good,Already partially source-noted; deepen around first chords and finger independence when needed.,Doing drills and Foundation action steps
