Book Identity ID,Inventory ID,Title,Author,Format,Size MB,Pages,Text Quality,Domain,Likely Hearth Nodes,Clean Status,Source Role,Canonical Copy,Duplicate Group,Duplicate Of Inventory ID,Canonical Local File,Next Action,Local File
book-id-001,book-051,"Mel Bay Learning the Classic Guitar Part 1 (1990, Mel Bay Publications, Inc.)",Aaron Shearer,pdf,29.0,162,scanned / OCR needed,Classical / Technique,Foundation; Doing; Practice,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Learning the Classic Guitar_ Part 1 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",Add to OCR priority review,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Learning the Classic Guitar_ Part 1 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf"
book-id-002,book-052,"Mel Bay Presents Aaron Shearer Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.)",Aaron Shearer,pdf,33.7,218,scanned / OCR needed,Classical / Technique,Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Presents_ Aaron Shearer_ Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Presents_ Aaron Shearer_ Learning the Classic Guitar, Part 2 (1990, Mel Bay Publications, Inc.) - libgen.li.pdf"
book-id-003,book-050,"Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.)",Aaron Shearer,pdf,21.9,87,scanned / OCR needed,Classical / Technique,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Aaron Shearer - Mel Bay Aaron Shearer Learning the Classic Guitar, part 3 (Book & CD) (1995, Mel Bay Publications, Inc.) - libgen.li.pdf"
book-id-004,book-001,The Guitar Grimoire A Compendium of Formulas for Guitar Scales and Modes (1991),Adam Kadmon,pdf,17.8,220,scanned / OCR needed,Theory / Fretboard,Study; Knowing,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Adam Kadmon - The Guitar Grimoire_ A Compendium of Formulas for Guitar Scales and Modes (1991) - libgen.li.pdf
book-id-005,book-002,"Music, Language, and the Brain (2007, Oxford University Press, USA)",Aniruddh D. Patel,pdf,5.4,526,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-005,book-070,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf"
book-id-005,book-070,"Music, Language, and the Brain (2007, Oxford University Press, USA)",Aniruddh D. Patel,pdf,5.4,526,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Active Source,Curriculum spine source,Yes,dup-book-id-005,,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/ Aniruddh D. Patel - Music, Language, and the Brain (2007, Oxford University Press, USA) - libgen.li.pdf"
book-id-006,book-003,Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990),Ashley Mark,pdf,1.2,52,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Ashley Mark - Jazz Guitar Artistry (Ashley Mark Jazz Series for Guitar) (1990) - libgen.li.pdf
book-id-007,book-053,"Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing)",Bill Edwards,pdf,15.4,287,scanned / OCR needed,Theory / Fretboard,Study; Knowing; Doing,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Bill Edwards - Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing) - libgen.li.pdf",Add to OCR priority review,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Bill Edwards - Fretboard Logic Box Set (3 Volumes and 2 Videos Combined in Two Books and One DVD Disc) (2002, Bill Edwards Publishing) - libgen.li.pdf"
book-id-008,book-039,"The Recording Engineer's Handbook (2009, Course Technology Cengage Learning)",Bobby Owsinski,pdf,30.4,423,text-based / extraction likely good,Recording / Production,Foundation; Knowing; Create; Doing,Private Library,Reference shelf / private library,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Artistpro] Bobby Owsinski - The Recording Engineer's Handbook (2009, Course Technology Cengage Learning) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/[Artistpro] Bobby Owsinski - The Recording Engineer's Handbook (2009, Course Technology Cengage Learning) - libgen.li.pdf"
book-id-009,book-004,"The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.)",Brian Hodel,pdf,2.5,32,scanned / OCR needed,Unclassified,To Review,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Brian Hodel - The Brazilian Masters. The Music of Jobim, Bonfa and Baden Powell Arranged for Solo Guitar (Guitar Scores) (TRO Hollis Music, Inc.) - libgen.li.pdf"
book-id-010,book-005,"Music Theory Workbook for Guitar Volume One (1997, muse eek publishing)",Bruce Arnold,pdf,4.6,36,scanned / OCR needed,Theory / Fretboard,Study; Knowing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Bruce Arnold - Music Theory Workbook for Guitar Volume One (1997, muse eek publishing) - libgen.li.pdf"
book-id-011,book-006,Modal and Harmonized Modal Scales for the Spanish Guitar,C. Nelson,pdf,5.9,66,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf,Intake triage needed,/Users/alessandralove/Downloads/Guitar Resources/ C. Nelson - Modal and Harmonized Modal Scales for the Spanish Guitar - libgen.li.pdf
book-id-012,book-054,"Teach Yourself VISUALLY Guitar (2006, Visual)",Charles Kim,pdf,18.2,305,text-based / extraction likely good,Beginner / Reference,Foundation; Knowing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Charles Kim - Teach Yourself VISUALLY Guitar (2006, Visual) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Charles Kim - Teach Yourself VISUALLY Guitar (2006, Visual) - libgen.li.pdf"
book-id-013,book-007,"M-Audio guide for the recording guitarist (2008, Course Technology)",Chris Buono,pdf,11.3,465,text-based / extraction likely good,Recording / Production,Create; Doing,Private Library,Reference shelf / private library,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Chris Buono - M-Audio guide for the recording guitarist (2008, Course Technology) - libgen.li.pdf"
book-id-014,book-008,The Christopher Parkening Guitar Method - Volume 1 Guitar Technique (1997),"Christopher Parkening, Jack Marshall, David Brandon",pdf,31.6,113,scanned / OCR needed,Classical / Technique,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 1_ Guitar Technique (1997) - libgen.li.pdf"
book-id-015,book-009,The Christopher Parkening Guitar Method - Volume 2 Guitar Technique (1998),"Christopher Parkening, Jack Marshall, David Brandon",pdf,36.6,137,scanned / OCR needed,Classical / Technique,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Christopher Parkening, Jack Marshall, David Brandon - The Christopher Parkening Guitar Method - Volume 2_ Guitar Technique (1998) - libgen.li.pdf"
book-id-016,book-010,"Making Music and Enriching Lives A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",Cynthia Blanchard Acree,pdf,2.5,337,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-016,book-071,"/Users/alessandralove/Downloads/LEARNING/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf"
book-id-016,book-071,"Making Music and Enriching Lives A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press)",Cynthia Blanchard Acree,pdf,2.5,337,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-016,,"/Users/alessandralove/Downloads/LEARNING/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/ Cynthia Blanchard Acree - Making Music and Enriching Lives_ A Guide for All Music Teachers (Music for Life) (2007, Indiana University Press) - libgen.li.pdf"
book-id-017,book-055,"This is your brain on music the science of a human obsession (2007, Plume Penguin Audio)",Daniel J Levitin,pdf,1.5,316,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Active Source,Curriculum spine source,Yes,dup-book-id-017,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf"
book-id-017,book-072,"This is your brain on music the science of a human obsession (2007, Plume Penguin Audio)",Daniel J Levitin,pdf,1.5,316,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-017,book-055,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/LEARNING/ Daniel J Levitin - This is your brain on music_ the science of a human obsession (2007, Plume_Penguin Audio) - libgen.li.pdf"
book-id-018,book-011,"Acoustic Guitar Slide Basics (Acoustic Guitar Magazine's Private Lessons) (2001, String Letter Publishing)",David Hamburger,pdf,8.5,70,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ David Hamburger - Acoustic Guitar Slide Basics (Acoustic Guitar Magazine's Private Lessons) (2001, String Letter Publishing) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ David Hamburger - Acoustic Guitar Slide Basics (Acoustic Guitar Magazine's Private Lessons) (2001, String Letter Publishing) - libgen.li.pdf"
book-id-019,book-012,BOSSA NOVA FOR GUITAR,"Donat, paul",pdf,0.2,13,text-based / extraction likely good,Style / Genre,Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Donat, paul - BOSSA NOVA FOR GUITAR - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Donat, paul - BOSSA NOVA FOR GUITAR - libgen.li.pdf"
book-id-020,book-067,E-booklet Roadmap for learning Guitar revison 2024 11 07 (1),,pdf,0.6,3,text-based / extraction likely good,Unclassified,To Review,To Review,Needs human review,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/Done/E-booklet Roadmap for learning Guitar_revison_2024_11_07 (1).pdf,Intake triage needed,/Users/alessandralove/Downloads/Guitar Resources/Done/E-booklet Roadmap for learning Guitar_revison_2024_11_07 (1).pdf
book-id-021,book-068,"English Handbook and Study Guide A Comprehensive English Reference Book{Beryl Lutrin Marcelle Pincus}(2004, Berlut Books)",,pdf,11.8,172,text-based / extraction likely good,Learning Science / Music Cognition,Foundation; Knowing; Study; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-021,book-078,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf"
book-id-021,book-078,"English Handbook and Study Guide A Comprehensive English Reference Book{Beryl Lutrin Marcelle Pincus}(2004, Berlut Books)",,pdf,11.8,172,text-based / extraction likely good,Learning Science / Music Cognition,Foundation; Knowing; Study; Hearth,Private Library,Reference shelf / private library,Yes,dup-book-id-021,,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/English Handbook and Study Guide_ A Comprehensive English Reference Book{Beryl Lutrin_ Marcelle Pincus}(2004, Berlut Books){107205711} libgen.li.pdf"
book-id-022,book-045,"The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation)","Fred Sokolow, Fred Sokolow",pdf,19.7,48,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Collection] Fred Sokolow, Fred Sokolow - The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Collection] Fred Sokolow, Fred Sokolow - The Roots of Slide Guitar (Guitar Collection) (1999, Hal Leonard Corporation) - libgen.li.pdf"
book-id-023,book-044,"Fretboard Roadmaps (2005, Hal Leonard Corporation)","Fred Sokolow, Tim Emmons",pdf,6.9,64,scanned / OCR needed,Theory / Fretboard,Study; Knowing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Fretboard Roadmaps] Fred Sokolow, Tim Emmons - Fretboard Roadmaps (2005, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Fretboard Roadmaps] Fred Sokolow, Tim Emmons - Fretboard Roadmaps (2005, Hal Leonard Corporation) - libgen.li.pdf"
book-id-024,book-046,"Fretboard Roadmaps The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation)",Fred Sokolow,pdf,8.2,64,scanned / OCR needed,Theory / Fretboard,Study; Knowing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Techniques] Fred Sokolow - Fretboard Roadmaps_ The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Guitar Techniques] Fred Sokolow - Fretboard Roadmaps_ The Essential Guitar Patterns That All the Pros Know and Use (1993, Hal Leonard Corporation) - libgen.li.pdf"
book-id-025,book-013,"The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications)",Frederick Ariel,pdf,66.0,144,scanned / OCR needed,Classical / Technique,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Frederick Ariel - The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Frederick Ariel - The Classical Guitar (Frederick Noad Guitar Anthology) (1976, Amsco Publications) - libgen.li.pdf"
book-id-026,book-014,Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition,Glenn Weiser,pdf,5.0,193,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,/Users/alessandralove/Downloads/Guitar Resources/ Glenn Weiser - Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition - libgen.li.pdf,OCR only after active sources are mapped,/Users/alessandralove/Downloads/Guitar Resources/ Glenn Weiser - Celtic Guitar Encyclopedia - Fingerstyle Guitar Edition - libgen.li.pdf
