asset_key,variant,mood,width,height,source_path,recommended_app_path,recommended_use
guide.full.celebratory,full-body,celebratory,3000,5000,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FULL/Celebratory.png,assets/images/character/full/celebratory.png,Node rooms and completion moments
guide.full.encouraging,full-body,encouraging,3000,5000,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FULL/Encouraging.png,assets/images/character/full/encouraging.png,Node rooms and supportive guide moments
guide.full.neutral,full-body,neutral,3000,5000,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FULL/Neutral.png,assets/images/character/full/neutral.png,Default node room guide
guide.full.thinking,full-body,thinking,3000,5000,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FULL/Thinking.png,assets/images/character/full/thinking.png,Questions and stuck moments
guide.face.celebratory,face,celebratory,1319,1858,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FACE/Celebratory.png,assets/images/character/face/celebratory.png,TeachingEngine correct/end states
guide.face.encouraging,face,encouraging,1297,1820,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FACE/Encouraging.png,assets/images/character/face/encouraging.png,TeachingEngine speak/card states
guide.face.neutral,face,neutral,1402,1909,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FACE/Neutral.png,assets/images/character/face/neutral.png,TeachingEngine setup states
guide.face.thinking,face,thinking,1308,1841,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/FACE/Thinking.png,assets/images/character/face/thinking.png,TeachingEngine ask/reexplain states
guide.symbol.lightbulb,symbol-face,insight,1540,1978,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/SYMBOLS/Encouraging Face Lightbulb.png,assets/images/character/symbols/lightbulb.png,Insight and concept-click moments
guide.symbol.sparks,symbol-face,celebration,1298,1716,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/SYMBOLS/Celebrator with sparks.png,assets/images/character/symbols/sparks.png,Milestones and accomplishments
guide.symbol.exclamation,symbol-face,warning,1488,1742,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/SYMBOLS/Think Exclamation Mark.png,assets/images/character/symbols/exclamation.png,Gradient warnings and stuck detection
guide.symbol.question,symbol-face,question,1408,1889,/Users/alessandralove/Documents/TREE OF LIFE/PRODUCTION/SIMULATION/ASSETS/CHARACTER/SYMBOLS/Thinking Question Mark.png,assets/images/character/symbols/question.png,Questions and misunderstood-word checks
