Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Practice as physical training,1,5,17,21,"The introduction frames guitar as a physical and expressive activity: the more consistently and intelligently the player practices, the more freedom they gain. It also presents exercises as movable forms that can travel around the neck.","Use this as a bridge between Foundation and Doing: guitar learning is not just information, it is trained movement. The guide can frame practice as earning freedom in the hands.",Foundation,Technique,Level 1,high,text-good,"Printed page 1 starts on PDF page 17."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Movable patterns,2,4,18,20,"The book emphasizes movable scale, arpeggio, and chord patterns: once the fingering is learned, the same form can shift to new keys by moving the starting point.","This supports the Hearth idea of shapes as portable spells: one pattern, many locations. It should inform early explanations of fretboard shapes, transposition, and root-note awareness.",Knowing,Scales,Level 2,high,text-good,"Good bridge to QJam scale-pattern progression."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Three exercise families: scales arpeggios chords,4,5,20,21,"The book organizes the bulk of practice into scales, arpeggios, and chords, with sequences and progressions as the next layer of difficulty.","Use this as a simple Doing taxonomy: single-note maps, broken-chord maps, and chord movement. This can help make the practice surface feel less random.",Doing,Technique,Level 1,high,text-good,"Useful for database categories and drill grouping."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Setup before drills,9,12,25,28,"Chapter 1 reviews holding the guitar, sitting/standing position, and how to read tab, chord diagrams, neck diagrams, and rhythm slashes before beginning exercises.","Foundation should not assume the learner knows the symbols. Before drills, the app should teach the physical setup and the map symbols that make drills readable.",Foundation,Reading Music,Level 1,high,text-good,"Chapter 1 anchor note."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Comfort and consistency in posture,10,10,26,26,"The chapter emphasizes choosing a guitar position that is comfortable and consistent rather than fashionable.","Hearth voice: the guitar should become a repeatable home position, not a costume. This supports posture guidance: supported, consistent, not clamped.",Foundation,Technique,Level 1,high,text-good,"Pairs well with Jamie Andreas once OCRed."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Chord diagrams and neck diagrams,11,12,27,28,"The book explains chord diagrams and neck diagrams as visual maps for finger placement, finger numbers, roots, tonics, and movable forms.","Use this to build visual literacy in Foundation/Study: diagrams are not decorations, they are maps. The learner should know what dots, numbers, roots, and tonics mean.",Study,Reading Music,Level 1,high,text-good,"Good source for a Study node micro-lesson on diagrams."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Warming up the body and mind,13,18,29,34,"Chapter 2 frames warm-up as preparation for better playing, not optional fluff. It includes loosening fingers, relaxing the body, maintaining focus, and using simple single-note and chord exercises.","This directly supports the Hearth ritual of entering practice: body scan, loosen hands, focus attention, then play. Warm-up becomes a threshold, not a chore.",Practice,Technique,Level 1,high,text-good,"Chapter 2 anchor note."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Relaxation after practice,15,15,31,31,"The text asks the player to relax the body after practice and notice stored tension, especially in shoulders and larger muscle groups.","Use this in the Practice node reflection: after playing, check what the body kept holding. This connects technique to nervous-system awareness.",Hearth,Technique,Level 1,high,text-good,"Strong link to whole-person / neurological reflection."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Focus as a practice skill,15,16,31,32,"The chapter treats focus as part of practice preparation rather than a vague personality trait.","Practice sessions should include an intention step: what are you listening for, what are you correcting, what will count as clean enough?",Practice,Technique,Level 1,high,text-good,"Supports intention -> timer -> practice -> reflect flow."
Guitar Exercises For Dummies,Mark Phillips & Jon Chappell,Exercise method book,Pattern exercises across and diagonally along the neck,16,18,32,34,"Warm-up patterns are described as repeated finger movements across the neck and diagonally up the neck, with the musical meaning less important than clean physical patterning.","Use as early Doing drills: pattern first, speed later. The guide should explain that some exercises are not songs; they are coordination rituals for the hands.",Doing,Technique,Level 1,high,text-good,"Useful for first chromatic/warm-up drill design."
