Source,Author,Source Type,Concept,Printed Page Start,Printed Page End,PDF Page Start,PDF Page End,Source Summary,Hearth Application,Related Node,Related Discipline,Related Level,Confidence,Extraction Quality,Notes
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Music and language as human sound systems,3,6,16,19,"The introduction frames music and language as central human sound systems that invite comparison because both organize complex meaningful sound sequences.","This directly supports The Hearth's core metaphor: guitar learning can be designed like language learning, moving from sound vocabulary to grammar to conversation to expression.",Hearth,Music As Language,Level 1,high,text-good,"Do not over-academicize learner-facing content; use as design backbone."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Sound elements pitch and timbre,7,94,20,107,"Chapter 2 compares musical and linguistic sound systems, including pitch, timbre, sound categories, and learning sound distinctions.","Foundation and Study should treat sound as the first material. Before symbols and labels, the learner needs to hear differences and attach meaning to them.",Study,Listening,Level 1,high,text-good,"Supports first-sounds and ear-training design."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Sound category learning,71,86,84,99,"The sound chapter highlights sound category learning as a key connection between music and language.","The simulator should help learners form categories: high/low, open/fretted, bright/dull, stable/unstable, major/minor, close/far intervals.",Study,Ear Training,Level 1,high,text-good,"Strong support for misunderstood-word plus misunderstood-sound design."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Rhythm connects music speech poetry and song,95,180,108,193,"Chapter 3 compares rhythm in music and speech, includes poetry and song, and treats nonperiodic rhythm as a key link.","Rhythm should not be reduced to metronome obedience. It is speech, movement, expectation, accent, breath, and phrase.",Study,Rhythm,Level 1,high,text-good,"Supports rhythm across Study, Practice, and Create."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Beat-based rhythm as a special capacity,402,411,415,424,"The evolution chapter identifies beat-based rhythm processing as a key research area.","The Hearth can treat beat as a body-brain bridge: the learner is training timing, prediction, movement, and social musical coordination.",Hearth,Rhythm And Body,Level 1,medium,text-good,"Connect with Practice timer/metronome/body reflection."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Melody and speech melody,181,238,194,251,"Chapter 4 compares melody in music with speech melody, including song as an interlude and melodic contour/statistics as key links.","Teach melody as shaped sound, not only note sequence. Beginners can understand contour before they understand notation.",Study,Melody,Level 1,high,text-good,"Useful for beginner ear and phrase activities."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Contour before precision,218,238,231,251,"The melody chapter treats melodic contour as a key connection between music and language.","Early melodic tasks can ask whether sound rises, falls, repeats, or resolves before asking for exact note names.",Study,Ear Training,Level 1,high,text-good,"Good low-gradient beginner listening design."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Musical syntax,239,298,252,311,"Chapter 5 focuses on musical syntax, structural richness, formal similarities/differences with linguistic syntax, and neural resources for integration.","Study can teach harmony and progression as grammar: not rules for their own sake, but expectations about how musical events relate.",Study,Harmony,Level 2,high,text-good,"Pair with Schonbrun chord progression notes and Levitin anticipation."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Meaning in music,299,352,312,365,"Chapter 6 presents musical meaning, compares it with linguistic meaning, and connects song, emotion, expression, and appraisal.","The Hearth should allow musical meaning to include emotion, gesture, memory, context, and embodied response, not only verbal explanation.",Hearth,Music And Meaning,Level 1,high,text-good,"Useful for Hearth reflections and Create prompts."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Emotion as a bridge between music and language,344,350,357,363,"The meaning chapter identifies expression and appraisal of emotion as a key link.","Emotion should be part of the teaching design. The learner is not only acquiring technique; they are learning how sound carries feeling.",Hearth,Music And Emotion,Level 1,high,text-good,"Pairs with Levitin music/emotion notes."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Music evolution is neither simple adaptation nor trivial frill,353,416,366,429,"Chapter 7 reviews language, music, natural selection, and argues for a nuanced position on music and evolution.","The Hearth voice can frame music as deeply human without overclaiming. Guitar study joins a broad human capacity for patterned sound and shared meaning.",Mastery,Music Philosophy,Level 1,medium,text-good,"Use carefully in learner-facing copy."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Sound examples as future media layer,487,490,500,503,"The book includes a list of sound examples, reinforcing that the subject is auditory and not only textual.","The database should support audio examples and listening tasks alongside books and videos. Study should become audible.",Study,Audio Resources,Level 1,medium,text-good,"Future media_assets/audio field."
Music Language and the Brain,Aniruddh D. Patel,Music cognition / language neuroscience,Cross-domain support for reusable simulator engine,3,416,16,429,"The book sits across music, language, cognition, neuroscience, and human learning.","This strengthens the case that The Hearth engine should be domain-aware but not guitar-locked. It can model vocabulary, grammar, practice, feedback, and meaning in other domains too.",Hearth,Reusable Engine,Level 1,high,text-good,"Useful for Martin and future medicine-study simulator."
